account_id,signup_date,industry,acquisition_channel,plan,seats,mrr,churn_date,churn_flag
10173,2026-04-08,Healthcare,Partner,Pro,10,1990,,False
10174,2026-03-10,Professional Services,Referral,Business,10,4990,,False
10175,2026-02-23,Retail,Organic,Starter,3,237,2026-07-03,True
10176,2025-10-05,Healthcare,Organic,Business,13,6487,,False
10177,2026-03-07,Financial Services,Organic,Pro,13,2587,,False
10178,2025-04-07,Financial Services,Referral,Starter,2,158,,False
10179,2026-06-25,Technology,Organic,Business,32,15968,,False
10180,2025-10-28,Retail,Organic,Business,18,8982,2026-03-17,True
10181,2026-07-17,Retail,Organic,Starter,2,158,,False
10182,2025-04-02,Financial Services,Paid Search,Business,14,6986,,False
10183,2025-10-26,Technology,Paid Search,Pro,6,1194,,False
10184,2026-02-22,Technology,Events,Pro,5,995,,False
10185,2025-10-25,Healthcare,Partner,Enterprise,47,61053,,False
10186,2025-09-25,Healthcare,Paid Search,Starter,2,158,,False
10187,2025-04-10,Healthcare,Organic,Business,8,3992,,False
10188,2025-08-17,Professional Services,Paid Search,Starter,3,237,,False
10189,2025-05-24,Manufacturing,Organic,Business,10,4990,,False
10190,2025-06-30,Professional Services,Referral,Pro,6,1194,,False
10191,2026-02-15,Financial Services,Referral,Starter,2,158,,False
10192,2026-01-14,Technology,Referral,Starter,2,158,,False
10193,2025-12-31,Manufacturing,Organic,Starter,6,474,,False
10194,2025-08-06,Professional Services,Paid Search,Starter,3,237,,False
10195,2026-07-30,Healthcare,Partner,Starter,3,237,,False
10196,2025-02-22,Professional Services,Partner,Starter,2,158,,False
10197,2025-07-25,Healthcare,Paid Search,Starter,2,158,,False
10198,2025-03-12,Retail,Paid Search,Starter,3,237,,False
10199,2025-07-23,Technology,Organic,Pro,6,1194,,False
10200,2026-08-01,Professional Services,Partner,Pro,11,2189,,False
10201,2025-08-08,Healthcare,Paid Search,Pro,5,995,,False
10202,2026-06-30,Professional Services,Organic,Starter,3,237,,False
10203,2025-10-25,Professional Services,Referral,Business,15,7485,,False
10204,2026-02-24,Financial Services,Events,Pro,8,1592,,False
10205,2025-10-02,Professional Services,Paid Search,Starter,2,158,,False
10206,2025-06-09,Technology,Referral,Starter,3,237,,False
10207,2026-04-04,Financial Services,Paid Search,Pro,7,1393,,False
10208,2026-08-05,Healthcare,Referral,Starter,2,158,,False
10209,2025-06-08,Healthcare,Referral,Pro,9,1791,,False
10210,2026-04-13,Manufacturing,Referral,Enterprise,49,63651,,False
10211,2025-06-06,Technology,Referral,Starter,3,237,,False
10212,2026-03-07,Retail,Paid Search,Starter,3,237,,False
10213,2026-04-19,Professional Services,Organic,Enterprise,59,76641,,False
10214,2025-09-27,Manufacturing,Partner,Pro,7,1393,,False
10215,2026-03-19,Financial Services,Referral,Starter,3,237,,False
10216,2025-06-13,Technology,Paid Search,Business,19,9481,2025-08-12,True
10217,2025-02-17,Healthcare,Paid Search,Business,33,16467,,False
10218,2025-02-27,Technology,Paid Search,Pro,5,995,,False
10219,2025-09-26,Professional Services,Paid Search,Pro,10,1990,,False
10220,2026-06-26,Healthcare,Events,Starter,2,158,,False
10221,2025-03-18,Financial Services,Paid Search,Starter,3,237,,False
10222,2025-10-01,Healthcare,Partner,Pro,14,2786,,False
10223,2026-02-27,Financial Services,Paid Search,Starter,4,316,,False
10224,2025-05-02,Manufacturing,Organic,Pro,8,1592,,False
10225,2026-03-09,Financial Services,Referral,Business,15,7485,,False
10226,2025-07-03,Technology,Referral,Starter,3,237,,False
10227,2026-05-01,Technology,Organic,Pro,7,1393,,False
10228,2025-12-14,Healthcare,Referral,Starter,2,158,,False
10229,2025-11-25,Technology,Referral,Business,16,7984,,False
10230,2025-04-17,Retail,Paid Search,Starter,3,237,,False
10231,2025-10-05,Technology,Organic,Pro,6,1194,,False
10232,2026-05-29,Professional Services,Partner,Pro,6,1194,,False
10233,2025-01-12,Financial Services,Referral,Starter,2,158,,False
10234,2026-04-01,Professional Services,Paid Search,Pro,9,1791,,False
10235,2025-10-23,Retail,Organic,Pro,10,1990,,False
10236,2026-03-08,Manufacturing,Referral,Pro,9,1791,,False
10237,2026-02-02,Technology,Organic,Business,25,12475,,False
10238,2025-09-17,Technology,Paid Search,Enterprise,46,59754,,False
10239,2025-07-05,Professional Services,Referral,Starter,3,237,,False
10240,2026-01-12,Healthcare,Events,Pro,9,1791,,False
10241,2025-03-26,Retail,Referral,Starter,3,237,,False
10242,2025-12-17,Financial Services,Paid Search,Business,15,7485,,False
10243,2025-02-26,Technology,Organic,Pro,17,3383,,False
10244,2026-01-25,Healthcare,Paid Search,Starter,3,237,,False
10245,2026-01-13,Technology,Referral,Starter,2,158,,False
10246,2025-02-20,Healthcare,Referral,Business,21,10479,,False
10247,2026-03-31,Technology,Organic,Starter,3,237,,False
10248,2025-09-07,Manufacturing,Organic,Pro,5,995,,False
10249,2026-04-18,Professional Services,Organic,Starter,4,316,,False
10250,2025-01-25,Professional Services,Events,Enterprise,44,57156,,False
10251,2025-04-18,Retail,Referral,Starter,2,158,,False
10252,2025-10-24,Technology,Organic,Starter,5,395,2026-08-07,True
10253,2025-04-23,Technology,Events,Business,22,10978,,False
10254,2025-07-17,Financial Services,Organic,Business,12,5988,,False
10255,2026-02-01,Professional Services,Referral,Starter,6,474,,False
10256,2025-03-28,Retail,Paid Search,Pro,10,1990,,False
10257,2026-02-11,Healthcare,Events,Pro,8,1592,,False
10258,2025-03-04,Technology,Paid Search,Business,31,15469,,False
10259,2025-04-16,Retail,Referral,Starter,3,237,,False
10260,2025-12-19,Professional Services,Events,Pro,8,1592,,False
10261,2026-04-22,Retail,Organic,Business,14,6986,,False
10262,2025-04-13,Professional Services,Events,Pro,10,1990,2026-02-23,True
10263,2025-06-29,Technology,Partner,Business,21,10479,,False
10264,2026-07-10,Technology,Events,Pro,8,1592,,False
10265,2026-08-17,Manufacturing,Organic,Starter,2,158,,False
10266,2025-12-15,Technology,Organic,Business,19,9481,,False
10267,2025-09-26,Healthcare,Paid Search,Business,18,8982,,False
10268,2025-07-28,Manufacturing,Paid Search,Business,11,5489,,False
10269,2026-01-03,Retail,Paid Search,Starter,2,158,2026-03-22,True
10270,2025-12-21,Professional Services,Events,Starter,4,316,,False
10271,2025-06-26,Healthcare,Paid Search,Business,7,3493,2025-10-04,True
10272,2025-01-14,Manufacturing,Referral,Starter,3,237,2026-02-01,True
10273,2025-04-01,Technology,Referral,Enterprise,38,49362,,False
10274,2026-07-30,Manufacturing,Organic,Starter,5,395,,False
10275,2025-09-08,Manufacturing,Organic,Pro,7,1393,,False
10276,2025-10-17,Technology,Organic,Business,23,11477,,False
10277,2025-10-08,Technology,Partner,Starter,3,237,,False
10278,2026-04-15,Healthcare,Paid Search,Starter,3,237,,False
10279,2025-02-08,Technology,Paid Search,Pro,10,1990,,False
10280,2025-02-19,Financial Services,Referral,Pro,7,1393,,False
10281,2025-06-15,Technology,Paid Search,Starter,4,316,,False
10282,2025-10-19,Healthcare,Partner,Pro,6,1194,,False
10283,2026-02-07,Professional Services,Events,Business,20,9980,,False
10284,2025-10-22,Technology,Paid Search,Pro,11,2189,,False
10285,2025-09-22,Technology,Partner,Starter,4,316,,False
10286,2026-07-17,Professional Services,Paid Search,Starter,6,474,,False
10287,2025-04-07,Financial Services,Referral,Starter,2,158,,False
10288,2025-12-10,Technology,Partner,Starter,2,158,,False
10289,2025-11-22,Healthcare,Referral,Starter,2,158,,False
10290,2025-10-12,Financial Services,Referral,Pro,10,1990,,False
10291,2026-04-30,Professional Services,Referral,Starter,4,316,,False
10292,2025-06-10,Manufacturing,Paid Search,Enterprise,47,61053,,False
10293,2026-07-27,Financial Services,Paid Search,Starter,2,158,,False
10294,2025-07-18,Healthcare,Paid Search,Starter,4,316,,False
10295,2025-11-24,Professional Services,Referral,Business,12,5988,2026-06-18,True
10296,2025-11-09,Healthcare,Organic,Business,27,13473,,False
10297,2026-05-25,Financial Services,Partner,Starter,8,632,,False
10298,2025-09-21,Manufacturing,Referral,Starter,3,237,,False
10299,2025-06-20,Retail,Events,Starter,4,316,2025-09-22,True
10300,2025-01-13,Healthcare,Organic,Pro,7,1393,,False
10301,2025-08-07,Retail,Paid Search,Pro,4,796,,False
10302,2026-05-11,Technology,Paid Search,Starter,2,158,,False
10303,2025-01-06,Technology,Partner,Starter,2,158,2025-12-15,True
10304,2026-06-22,Manufacturing,Organic,Pro,5,995,,False
10305,2025-11-22,Healthcare,Events,Enterprise,82,106518,,False
10306,2025-03-26,Retail,Paid Search,Pro,9,1791,,False
10307,2025-07-01,Healthcare,Paid Search,Pro,9,1791,,False
10308,2025-11-29,Technology,Paid Search,Starter,3,237,,False
10309,2025-07-09,Technology,Organic,Starter,3,237,,False
10310,2025-03-07,Financial Services,Referral,Starter,4,316,,False
10311,2026-02-04,Financial Services,Organic,Business,18,8982,,False
10312,2026-02-08,Manufacturing,Referral,Business,22,10978,,False
10313,2025-03-13,Healthcare,Paid Search,Business,17,8483,,False
10314,2025-06-18,Professional Services,Referral,Enterprise,40,51960,,False
10315,2025-05-27,Healthcare,Organic,Enterprise,28,36372,,False
10316,2026-01-31,Retail,Organic,Enterprise,23,29877,,False
10317,2026-03-15,Healthcare,Organic,Starter,3,237,,False
10318,2026-03-13,Professional Services,Organic,Starter,3,237,,False
10319,2026-07-18,Technology,Paid Search,Starter,2,158,,False
10320,2026-04-07,Technology,Organic,Pro,8,1592,,False
10321,2025-07-12,Manufacturing,Events,Starter,3,237,,False
10322,2025-03-06,Technology,Organic,Business,8,3992,2026-03-10,True
10323,2026-01-04,Manufacturing,Organic,Pro,6,1194,,False
10324,2026-07-04,Healthcare,Partner,Pro,9,1791,,False
10325,2026-08-09,Technology,Referral,Starter,3,237,,False
10326,2025-05-19,Manufacturing,Referral,Starter,2,158,,False
10327,2025-05-22,Technology,Events,Starter,3,237,,False
10328,2025-01-23,Technology,Events,Business,26,12974,,False
10329,2025-03-26,Financial Services,Paid Search,Pro,11,2189,,False
10330,2025-11-29,Professional Services,Organic,Pro,8,1592,,False
10331,2025-11-25,Professional Services,Paid Search,Starter,3,237,,False
10332,2025-08-11,Professional Services,Events,Starter,2,158,,False
10333,2025-07-05,Financial Services,Events,Starter,4,316,2025-11-15,True
10334,2026-05-13,Technology,Organic,Business,19,9481,,False
10335,2025-10-04,Professional Services,Referral,Business,22,10978,,False
10336,2026-04-30,Financial Services,Referral,Starter,3,237,,False
10337,2026-08-01,Retail,Organic,Enterprise,60,77940,,False
10338,2025-07-10,Healthcare,Paid Search,Starter,3,237,,False
10339,2025-05-02,Professional Services,Organic,Business,24,11976,,False
10340,2026-07-26,Financial Services,Referral,Starter,4,316,,False
10341,2026-01-16,Healthcare,Organic,Starter,2,158,,False
10342,2025-06-24,Retail,Referral,Business,10,4990,,False
10343,2026-01-09,Professional Services,Organic,Starter,5,395,,False
10344,2025-11-06,Financial Services,Referral,Starter,3,237,,False
10345,2026-06-28,Financial Services,Organic,Pro,4,796,,False
10346,2025-06-03,Technology,Events,Starter,2,158,,False
10347,2026-08-18,Financial Services,Organic,Pro,10,1990,,False
10348,2026-07-16,Technology,Paid Search,Business,16,7984,,False
10349,2025-04-19,Financial Services,Organic,Business,15,7485,,False
10350,2025-04-09,Manufacturing,Organic,Starter,5,395,,False
10351,2025-11-16,Financial Services,Organic,Pro,6,1194,,False
10352,2025-01-27,Healthcare,Organic,Starter,2,158,,False
10353,2025-06-29,Professional Services,Organic,Starter,3,237,,False
10354,2025-09-19,Manufacturing,Referral,Starter,3,237,,False
10355,2026-08-05,Healthcare,Paid Search,Enterprise,54,70146,,False
10356,2026-08-19,Manufacturing,Organic,Business,25,12475,,False
10357,2025-04-01,Healthcare,Referral,Business,19,9481,2026-03-14,True
10358,2026-06-20,Financial Services,Paid Search,Pro,9,1791,,False
10359,2025-02-24,Financial Services,Organic,Pro,7,1393,,False
10360,2026-03-26,Manufacturing,Referral,Pro,8,1592,,False
10361,2026-05-23,Manufacturing,Organic,Pro,8,1592,,False
10362,2026-06-19,Retail,Organic,Pro,9,1791,,False
10363,2025-05-15,Technology,Referral,Starter,4,316,,False
10364,2026-06-21,Technology,Events,Starter,4,316,,False
10365,2025-03-11,Professional Services,Events,Enterprise,46,59754,,False
10366,2025-11-08,Technology,Events,Pro,6,1194,,False
10367,2025-10-09,Professional Services,Referral,Enterprise,46,59754,,False
10368,2025-07-09,Technology,Organic,Starter,3,237,,False
10369,2025-01-14,Manufacturing,Referral,Pro,9,1791,,False
10370,2026-04-09,Technology,Organic,Starter,6,474,,False
10371,2025-07-21,Financial Services,Organic,Starter,2,158,,False
10372,2026-02-01,Retail,Organic,Starter,3,237,,False
10373,2025-09-04,Professional Services,Referral,Starter,4,316,,False
10374,2025-08-13,Healthcare,Referral,Business,19,9481,,False
10375,2026-06-16,Manufacturing,Organic,Starter,7,553,2026-08-25,True
10376,2025-02-26,Healthcare,Paid Search,Pro,7,1393,,False
10377,2026-03-18,Manufacturing,Referral,Pro,9,1791,,False
10378,2026-03-25,Financial Services,Partner,Starter,2,158,,False
10379,2025-08-16,Healthcare,Organic,Pro,7,1393,,False
10380,2025-06-07,Technology,Paid Search,Starter,3,237,,False
10381,2025-01-04,Manufacturing,Organic,Enterprise,61,79239,,False
10382,2026-07-17,Healthcare,Referral,Business,20,9980,,False
10383,2026-07-23,Professional Services,Organic,Business,28,13972,,False
10384,2025-05-25,Retail,Organic,Pro,8,1592,,False
10385,2025-01-20,Financial Services,Paid Search,Starter,3,237,,False
10386,2025-03-15,Technology,Organic,Business,46,22954,,False
10387,2025-02-10,Healthcare,Organic,Starter,3,237,2025-07-06,True
10388,2026-05-14,Professional Services,Events,Starter,2,158,,False
10389,2026-06-20,Technology,Organic,Starter,2,158,,False
10390,2025-04-02,Professional Services,Paid Search,Business,13,6487,,False
10391,2026-03-25,Manufacturing,Paid Search,Pro,11,2189,,False
10392,2025-04-18,Professional Services,Organic,Business,16,7984,,False
10393,2025-08-09,Financial Services,Referral,Business,19,9481,,False
10394,2025-12-26,Healthcare,Organic,Starter,3,237,,False
10395,2026-03-08,Technology,Partner,Business,23,11477,,False
10396,2026-06-09,Healthcare,Organic,Pro,6,1194,,False
10397,2025-01-27,Professional Services,Organic,Pro,5,995,,False
10398,2025-04-28,Healthcare,Referral,Starter,3,237,,False
10399,2025-06-18,Professional Services,Events,Enterprise,56,72744,,False
10400,2025-07-06,Technology,Partner,Starter,3,237,,False
10401,2026-08-22,Healthcare,Events,Starter,2,158,,False
10402,2026-04-12,Healthcare,Paid Search,Pro,10,1990,,False
10403,2025-07-12,Manufacturing,Paid Search,Starter,2,158,,False
10404,2026-08-07,Healthcare,Referral,Starter,2,158,,False
10405,2025-10-27,Retail,Events,Pro,6,1194,,False
10406,2025-10-28,Professional Services,Paid Search,Starter,5,395,,False
10407,2025-09-18,Professional Services,Referral,Business,22,10978,,False
10408,2025-03-28,Financial Services,Paid Search,Starter,4,316,,False
10409,2026-07-15,Retail,Paid Search,Pro,12,2388,,False
10410,2025-01-09,Retail,Organic,Pro,21,4179,,False
10411,2025-04-15,Professional Services,Referral,Pro,4,796,,False
10412,2025-05-18,Retail,Referral,Pro,6,1194,,False
10413,2025-06-17,Professional Services,Partner,Pro,6,1194,,False
10414,2025-03-21,Technology,Referral,Enterprise,33,42867,,False
10415,2025-01-11,Technology,Partner,Starter,2,158,,False
10416,2026-02-11,Financial Services,Referral,Starter,3,237,,False
10417,2026-08-05,Retail,Partner,Pro,5,995,,False
10418,2025-03-15,Technology,Organic,Business,20,9980,,False
10419,2025-06-27,Financial Services,Events,Starter,3,237,,False
10420,2025-10-31,Technology,Referral,Pro,9,1791,,False
10421,2026-07-11,Technology,Organic,Business,22,10978,,False
10422,2026-02-21,Technology,Organic,Business,22,10978,,False
10423,2026-04-05,Retail,Organic,Enterprise,39,50661,,False
10424,2025-12-15,Manufacturing,Referral,Pro,17,3383,,False
10425,2025-09-08,Professional Services,Paid Search,Pro,9,1791,,False
10426,2025-04-30,Professional Services,Events,Starter,2,158,,False
10427,2026-06-03,Professional Services,Paid Search,Enterprise,32,41568,,False
10428,2026-04-28,Retail,Paid Search,Starter,2,158,,False
10429,2025-01-16,Healthcare,Referral,Pro,8,1592,2025-12-06,True
10430,2026-03-06,Professional Services,Partner,Starter,3,237,,False
10431,2025-02-20,Financial Services,Partner,Pro,7,1393,,False
10432,2026-03-20,Manufacturing,Referral,Pro,16,3184,,False
10433,2026-05-11,Manufacturing,Events,Pro,10,1990,,False
10434,2025-03-20,Financial Services,Referral,Business,23,11477,,False
10435,2025-09-18,Healthcare,Partner,Starter,2,158,,False
10436,2025-03-16,Manufacturing,Events,Pro,6,1194,,False
10437,2025-12-07,Healthcare,Paid Search,Starter,3,237,,False
10438,2026-07-11,Professional Services,Organic,Starter,3,237,,False
10439,2025-02-18,Technology,Paid Search,Pro,4,796,,False
10440,2025-08-27,Technology,Organic,Starter,3,237,,False
