ticket_id,account_id,ticket_date,priority,resolution_hours,satisfaction_score
46,10021,2026-06-25,Normal,30.0,4.9
47,10021,2026-08-03,Normal,29.3,4.0
48,10021,2025-11-16,Normal,34.8,3.1
49,10022,2026-05-14,Low,72.5,3.4
50,10022,2026-07-01,Urgent,7.1,4.2
51,10022,2026-05-24,Normal,49.6,3.3
52,10022,2026-05-03,Low,49.9,4.4
53,10022,2025-12-14,Normal,43.0,3.1
54,10023,2025-11-23,Low,85.4,3.0
55,10026,2026-03-29,Normal,66.3,3.9
56,10027,2026-03-16,Normal,34.4,4.3
57,10028,2026-06-21,High,17.2,4.9
58,10029,2026-08-14,High,14.5,4.3
59,10029,2026-07-05,High,10.9,3.1
60,10030,2026-02-21,High,10.5,4.2
61,10030,2025-10-19,High,18.9,4.4
62,10030,2026-01-17,Normal,35.2,4.7
63,10030,2026-07-04,High,16.8,3.4
64,10030,2025-12-18,Normal,37.9,3.2
65,10031,2026-06-27,Normal,57.6,3.8
66,10031,2026-06-24,Low,139.8,4.3
67,10032,2026-04-05,High,19.3,3.8
68,10032,2026-01-09,Normal,53.6,4.3
69,10034,2026-01-30,High,22.8,3.3
70,10034,2026-04-25,High,19.7,3.7
71,10036,2025-11-14,Normal,83.5,4.5
72,10036,2026-01-08,Normal,27.2,5.0
73,10040,2026-08-09,Low,125.6,4.3
74,10041,2026-04-28,Normal,18.5,4.5
75,10041,2025-04-16,Urgent,6.7,3.6
76,10044,2026-03-26,Normal,26.7,3.9
77,10045,2025-06-14,Urgent,4.8,4.6
78,10045,2025-06-09,Urgent,7.0,4.2
79,10047,2026-06-30,High,20.3,3.4
80,10047,2025-11-07,Normal,37.2,3.0
81,10049,2026-03-07,High,18.3,4.6
82,10050,2026-05-18,Normal,25.5,3.3
83,10052,2025-12-15,Normal,48.2,3.4
84,10052,2026-06-15,Normal,15.6,3.3
85,10052,2026-02-06,Low,109.3,4.3
86,10053,2026-06-07,Normal,33.1,3.3
87,10053,2026-03-23,Low,134.1,2.5
88,10054,2025-10-20,Normal,31.1,3.2
89,10054,2026-04-06,Normal,36.3,3.8
90,10056,2025-03-13,Normal,24.6,5.0
91,10056,2026-01-09,Low,43.7,3.5
92,10056,2025-06-16,Normal,26.4,4.2
93,10056,2026-02-28,High,39.7,3.8
94,10056,2025-05-13,Normal,29.7,3.5
95,10057,2026-08-21,Normal,30.5,4.5
96,10057,2026-06-08,High,14.0,3.6
97,10059,2026-08-12,Normal,61.9,2.7
98,10060,2026-07-18,High,26.9,3.4
99,10060,2026-03-03,High,15.4,4.0
100,10061,2026-07-10,High,18.3,3.4
101,10062,2026-07-22,High,23.2,4.6
102,10063,2026-08-21,Normal,39.6,3.5
103,10063,2026-06-16,Normal,22.4,3.9
104,10065,2026-03-07,Normal,36.7,3.9
105,10065,2026-06-17,Urgent,4.0,4.9
106,10066,2026-01-20,Normal,46.7,3.7
107,10066,2025-12-17,High,13.4,3.5
108,10066,2026-03-07,Normal,23.4,5.0
109,10066,2025-07-31,Normal,25.4,3.9
110,10066,2026-06-29,Low,108.4,3.0
111,10067,2026-06-30,Urgent,5.3,4.4
112,10068,2025-09-18,Normal,53.4,4.3
113,10068,2026-05-30,Low,72.2,4.8
114,10070,2026-02-03,Normal,30.9,3.5
115,10070,2025-12-21,Urgent,4.5,4.7
116,10070,2025-12-10,Urgent,7.0,3.8
117,10070,2026-04-24,High,11.5,3.3
118,10070,2026-02-13,Low,72.2,3.6
119,10071,2026-05-18,Normal,40.5,3.2
120,10071,2026-07-27,Normal,35.5,2.9
121,10073,2026-04-05,Normal,49.1,3.3
122,10074,2025-11-18,High,13.1,3.1
123,10074,2025-04-06,Normal,41.3,3.5
124,10074,2025-07-22,Normal,33.5,3.5
125,10075,2026-05-18,Low,72.5,3.0
126,10077,2025-10-18,Urgent,3.1,4.8
127,10077,2026-03-06,Normal,17.6,3.8
128,10078,2026-02-25,Normal,30.8,2.7
129,10078,2025-12-05,Low,54.3,3.1
130,10079,2026-03-09,Normal,16.1,3.7
131,10079,2026-02-17,High,24.5,3.4
132,10080,2026-07-05,High,22.7,5.0
133,10080,2026-03-14,High,19.3,4.4
134,10082,2026-04-08,Normal,31.0,2.9
135,10082,2026-06-17,Normal,39.5,4.6
136,10083,2026-01-15,High,15.7,4.5
137,10083,2025-11-30,High,35.8,3.5
138,10083,2025-04-22,Normal,43.7,3.7
139,10083,2026-01-22,Urgent,7.9,4.1
140,10085,2026-08-09,Normal,30.8,3.5
141,10085,2026-06-04,High,17.7,3.9
142,10088,2026-06-05,Low,78.0,2.6
143,10088,2026-08-20,Normal,52.7,3.4
144,10088,2025-10-27,Normal,23.2,3.4
145,10090,2026-06-19,Normal,44.9,4.6
146,10091,2025-09-27,Urgent,5.9,3.3
147,10091,2026-04-12,Normal,35.7,3.7
148,10091,2026-05-14,Urgent,5.7,3.4
149,10094,2026-06-25,Normal,28.1,3.1
150,10094,2026-08-19,Normal,32.3,3.6
151,10096,2025-12-23,High,20.5,2.5
152,10096,2026-07-13,High,27.9,4.1
153,10097,2026-03-15,Urgent,10.1,4.3
154,10097,2025-05-28,Normal,54.0,4.1
155,10097,2026-06-14,Normal,12.0,4.2
156,10099,2026-02-09,Low,77.5,3.2
157,10100,2026-04-25,Low,93.3,3.0
158,10100,2025-08-13,Urgent,5.9,3.7
159,10100,2025-11-25,Normal,48.8,2.3
160,10101,2026-08-04,High,15.5,3.8
161,10101,2026-07-03,Normal,74.4,3.4
162,10101,2026-08-12,High,8.8,3.0
163,10102,2026-04-20,Normal,23.0,5.0
164,10102,2026-01-01,Urgent,4.8,4.8
165,10104,2025-08-22,Urgent,4.6,4.0
166,10104,2025-09-18,Normal,40.9,3.0
167,10104,2025-09-21,Normal,27.3,5.0
168,10105,2026-08-10,Normal,48.8,4.2
169,10106,2026-04-19,Normal,61.7,3.6
170,10106,2026-06-20,High,13.4,3.8
171,10109,2026-06-14,Normal,30.1,4.2
172,10109,2025-10-12,Normal,39.0,3.1
173,10109,2026-07-14,High,13.5,4.7
174,10111,2026-05-24,Normal,29.3,3.4
175,10111,2025-12-15,Urgent,5.0,4.6
176,10111,2026-06-29,Low,102.7,3.7
177,10111,2025-09-30,High,14.9,4.4
178,10111,2026-01-13,Normal,27.9,3.5
179,10111,2026-07-10,Low,64.5,2.8
180,10113,2026-03-04,Normal,53.2,2.9
181,10113,2026-06-23,Normal,22.0,5.0
182,10114,2025-11-09,Normal,37.2,3.8
183,10115,2026-02-07,Normal,17.2,3.6
184,10115,2026-07-01,Normal,37.0,3.4
185,10115,2026-01-06,Normal,59.3,3.4
186,10116,2026-06-17,Normal,32.5,3.6
187,10117,2025-11-19,Normal,30.2,2.9
188,10117,2025-03-23,Normal,28.2,4.5
189,10117,2025-03-20,High,14.1,4.7
190,10117,2025-03-26,Normal,41.6,2.9
191,10118,2025-11-14,High,28.4,4.9
192,10118,2025-06-22,Normal,18.3,4.0
193,10119,2026-01-11,High,22.1,4.1
194,10119,2026-01-12,Low,91.4,3.8
195,10119,2026-06-09,Normal,32.2,4.1
196,10120,2025-04-12,Normal,56.1,3.7
197,10120,2025-09-20,Normal,36.8,3.5
198,10120,2025-09-02,Normal,33.3,3.8
199,10121,2025-11-17,Normal,19.1,4.1
200,10122,2026-06-13,Normal,41.5,4.1
201,10123,2026-02-13,Normal,40.6,3.5
202,10123,2026-02-02,Normal,32.5,4.4
203,10127,2025-10-14,High,27.3,4.8
204,10127,2025-07-10,Low,53.7,3.5
205,10127,2025-07-18,High,8.5,3.8
206,10127,2025-12-27,Normal,19.0,4.1
207,10127,2025-05-04,Normal,22.6,4.4
208,10127,2025-07-02,Normal,43.2,2.9
209,10130,2026-04-14,Normal,24.6,3.9
210,10130,2026-05-27,Urgent,4.4,5.0
211,10131,2025-12-12,High,12.6,3.6
212,10131,2026-05-07,Normal,53.1,3.4
213,10131,2026-05-16,Urgent,6.4,3.9
214,10132,2026-07-25,Normal,24.7,3.5
215,10133,2025-02-26,Normal,37.7,3.9
216,10134,2025-12-16,Normal,46.3,3.0
217,10135,2026-08-22,Normal,30.7,3.2
218,10136,2025-10-13,Normal,30.7,3.0
219,10136,2026-04-10,Normal,44.7,3.7
220,10137,2026-04-01,Normal,22.7,3.5
221,10137,2026-06-10,High,16.9,4.6
222,10137,2026-01-22,Urgent,5.0,3.6
223,10137,2026-03-18,Normal,19.8,3.3
224,10137,2026-06-17,Normal,58.8,3.1
225,10137,2026-02-11,Low,65.7,4.0
226,10137,2026-01-06,Normal,34.7,2.6
227,10138,2025-04-22,Normal,54.6,3.0
228,10138,2026-02-15,Low,88.2,3.6
229,10138,2025-01-24,High,16.8,3.5
230,10138,2025-09-03,Normal,34.7,3.4
231,10138,2025-05-18,Low,81.2,3.0
232,10139,2026-08-22,Normal,43.2,3.0
233,10139,2026-05-24,High,12.0,4.4
234,10139,2025-12-28,Low,82.3,3.3
235,10142,2026-02-27,Normal,47.5,3.6
236,10142,2025-11-17,Urgent,9.6,3.9
237,10142,2025-06-20,High,14.0,3.3
238,10142,2025-12-29,Low,58.4,3.9
239,10142,2025-07-09,Normal,33.4,3.0
240,10143,2026-05-23,Normal,36.0,3.6
241,10143,2026-02-26,Normal,56.9,4.2
242,10146,2026-07-25,Low,68.0,4.6
243,10147,2025-10-03,High,15.7,4.3
244,10147,2025-05-29,Urgent,6.2,3.1
245,10147,2025-03-05,Normal,41.9,3.2
246,10147,2025-06-29,Normal,21.7,3.6
247,10148,2026-01-06,Urgent,7.8,3.8
248,10152,2026-06-14,Low,66.7,3.0
249,10152,2026-07-09,Low,56.0,3.6
250,10152,2026-01-31,Normal,49.8,2.7
251,10152,2025-08-04,Low,57.6,3.0
252,10154,2026-07-24,Low,65.8,4.0
253,10154,2026-04-01,High,18.1,4.2
254,10154,2026-06-08,Normal,32.5,2.9
255,10154,2026-08-05,Normal,36.7,3.7
256,10154,2025-08-14,Normal,77.0,2.7
257,10155,2025-09-21,Normal,30.9,4.1
258,10157,2026-05-04,Normal,60.7,3.3
259,10157,2025-11-10,Normal,43.0,3.2
260,10158,2026-08-24,Low,43.8,3.7
261,10158,2026-04-01,High,20.9,5.0
262,10158,2026-04-19,Normal,28.7,4.1
263,10159,2025-11-08,Normal,58.2,3.5
264,10162,2026-03-05,Normal,45.7,2.7
265,10162,2026-04-10,Low,33.8,4.3
266,10163,2025-12-18,High,18.7,3.8
267,10163,2026-02-28,Normal,43.1,3.6
268,10163,2026-02-06,Normal,50.5,3.3
269,10163,2025-12-26,Low,84.3,2.8
270,10164,2026-03-13,Normal,25.7,4.9
271,10165,2025-12-06,High,10.5,3.2
272,10165,2025-12-30,Urgent,6.4,3.9
273,10165,2026-07-12,Normal,26.8,3.8
274,10166,2026-07-03,Normal,72.3,2.3
275,10166,2026-06-30,Normal,45.1,3.1
276,10167,2026-05-09,High,12.6,4.5
277,10167,2025-12-10,Normal,27.2,4.1
278,10167,2026-04-21,Normal,37.9,3.8
279,10167,2026-04-26,High,17.6,3.4
280,10167,2026-03-08,Normal,45.8,3.1
281,10168,2025-08-28,Urgent,10.9,4.9
282,10169,2025-10-14,Low,52.2,3.8
283,10169,2025-12-24,High,23.2,4.4
284,10169,2025-10-20,High,28.6,4.8
285,10169,2026-05-03,Normal,40.3,2.6
286,10170,2025-02-19,Normal,67.3,2.7
287,10170,2025-11-29,Low,81.7,3.6
288,10170,2025-07-11,High,17.9,4.7
289,10170,2025-08-12,Normal,33.8,3.0
290,10171,2025-12-02,Low,72.4,4.1
291,10171,2025-03-08,Normal,48.2,2.9
292,10172,2025-07-18,Normal,69.7,3.9
293,10172,2025-11-17,High,20.7,4.3
294,10172,2025-06-28,Normal,25.2,4.5
295,10174,2026-08-17,Normal,20.4,3.9
296,10176,2025-12-03,Urgent,11.4,3.4
297,10176,2026-04-05,Normal,43.8,4.0
298,10176,2025-10-20,Normal,59.5,3.1
299,10177,2026-07-10,High,16.2,3.8
300,10177,2026-08-15,Normal,21.1,4.2
301,10177,2026-04-10,Low,70.1,3.3
302,10177,2026-08-12,Normal,43.4,4.3
303,10178,2026-05-22,Normal,24.8,3.3
304,10178,2025-11-15,Low,108.6,3.6
305,10182,2025-11-03,High,18.6,4.7
306,10182,2025-04-08,High,18.8,5.0
307,10182,2026-05-22,High,16.8,3.3
308,10183,2026-08-23,Low,126.8,4.2
309,10185,2026-01-30,Normal,23.5,4.4
310,10186,2026-03-03,Urgent,5.9,4.2
311,10187,2026-05-18,Normal,22.9,4.2
312,10187,2025-12-22,Low,56.0,3.2
313,10187,2025-12-01,Normal,24.7,4.2
314,10187,2026-04-10,High,21.1,3.4
315,10187,2026-05-26,Urgent,5.5,4.1
316,10188,2025-12-31,Normal,27.6,2.9
317,10190,2025-12-05,Low,50.6,3.7
318,10190,2026-03-19,Normal,43.3,4.5
319,10190,2025-07-26,Low,107.1,4.1
320,10190,2026-04-07,Normal,24.6,3.2
321,10193,2026-04-30,Urgent,5.3,4.9
322,10194,2026-03-09,Normal,22.2,2.5
323,10194,2026-08-12,Normal,24.6,3.6
324,10194,2025-10-08,Low,103.0,3.7
325,10194,2025-08-23,High,24.6,4.2
326,10194,2026-01-25,High,11.3,3.7
327,10196,2025-04-15,Normal,35.8,3.4
328,10196,2025-07-17,High,13.8,4.1
329,10196,2026-01-20,Normal,52.1,2.7
330,10197,2025-11-12,High,8.6,3.2
331,10197,2025-11-12,Normal,38.0,4.0
332,10197,2026-05-09,Low,96.3,3.9
333,10197,2025-08-31,High,15.9,3.8
334,10198,2025-09-03,Normal,36.1,3.9
335,10198,2026-03-13,Urgent,8.8,3.9
336,10199,2026-01-10,High,9.2,4.0
337,10199,2026-03-08,Low,75.6,4.1
338,10199,2025-11-23,Normal,24.3,3.8
339,10201,2026-01-18,Low,159.1,4.1
340,10201,2025-11-08,Normal,44.2,3.3
341,10201,2026-01-26,Normal,25.6,3.4
342,10201,2026-08-19,Normal,45.3,3.0
343,10201,2025-11-01,Normal,25.3,2.5
344,10201,2026-05-03,Normal,39.4,3.8
345,10201,2025-09-03,Normal,28.9,3.5
346,10203,2026-05-24,High,12.5,4.5
347,10203,2026-02-27,Normal,60.2,3.7
348,10205,2026-04-13,Normal,19.6,5.0
349,10205,2026-07-30,High,15.8,3.5
350,10206,2026-04-15,Normal,24.7,5.0
351,10207,2026-06-09,Normal,33.0,3.9
352,10209,2025-07-26,Normal,50.4,3.0
353,10209,2025-09-09,Normal,33.0,3.7
354,10209,2026-06-15,Normal,28.6,4.9
355,10210,2026-06-23,Normal,35.7,2.8
356,10211,2026-05-17,Urgent,5.4,4.3
357,10211,2026-03-10,Normal,38.9,2.9
358,10215,2026-05-25,Normal,47.3,4.1
359,10217,2025-12-17,High,14.0,4.1
360,10217,2025-03-15,Urgent,7.2,4.9
361,10218,2025-05-25,Low,48.5,3.7
362,10218,2025-04-01,High,21.5,3.5
363,10218,2025-05-28,Low,47.9,3.5
364,10218,2025-03-13,Normal,67.1,3.3
365,10218,2026-03-17,Normal,33.5,3.7
366,10218,2025-03-14,Normal,60.6,3.6
367,10219,2026-03-18,Normal,40.5,3.0
368,10219,2026-02-07,Urgent,4.3,3.5
369,10220,2026-07-19,Normal,28.5,3.4
370,10222,2026-04-24,Normal,37.9,3.8
371,10222,2026-07-04,Normal,24.7,3.7
372,10224,2026-06-24,Normal,52.1,3.9
373,10224,2025-11-13,Normal,42.9,3.3
374,10224,2025-12-22,Normal,30.1,4.3
375,10224,2025-10-26,Low,42.6,3.5
376,10224,2025-05-11,Normal,42.0,4.4
377,10224,2026-03-15,Urgent,9.6,3.6
378,10226,2025-11-11,High,21.0,3.6
379,10226,2026-06-11,Normal,27.2,4.2
380,10228,2026-06-12,Low,142.9,3.5
381,10228,2026-04-04,Urgent,5.7,3.8
382,10228,2026-04-05,High,10.5,4.1
383,10229,2026-06-29,Normal,32.5,3.2
384,10229,2026-01-13,Low,79.2,3.7
385,10229,2026-06-16,Normal,25.2,5.0
386,10230,2025-11-26,High,17.8,4.1
387,10231,2026-08-19,Normal,44.0,2.8
388,10231,2026-03-20,High,28.7,3.0
389,10232,2026-07-23,Low,90.0,3.2
390,10233,2025-06-30,Normal,33.3,4.6
391,10233,2026-02-23,Normal,37.5,3.3
392,10233,2026-01-24,Normal,49.0,4.8
393,10234,2026-07-22,High,15.5,4.0
394,10234,2026-05-07,Normal,25.1,2.8
395,10235,2026-01-11,Normal,31.8,3.3
396,10235,2026-08-26,Normal,45.5,4.3
397,10235,2026-08-04,High,29.3,4.1
398,10236,2026-08-12,High,16.2,3.4
399,10236,2026-07-10,High,17.3,4.7
400,10236,2026-04-02,Low,64.6,3.0
401,10237,2026-02-27,Low,51.1,5.0
402,10238,2026-06-11,Normal,37.1,2.9
403,10238,2026-02-05,High,14.9,3.6
404,10239,2025-10-12,High,20.9,4.1
405,10239,2026-01-23,Normal,37.5,3.5
406,10239,2026-08-14,Low,63.0,3.3
407,10240,2026-08-13,Normal,36.8,2.3
408,10240,2026-01-23,Normal,39.2,4.7
409,10241,2025-11-03,Normal,45.7,4.5
410,10241,2026-05-13,High,14.1,3.0
411,10241,2026-01-01,Normal,44.7,2.7
412,10242,2026-05-17,Normal,27.2,3.7
413,10242,2026-04-02,Normal,30.5,3.5
414,10243,2025-06-27,High,22.3,4.3
415,10246,2025-06-17,Normal,46.7,3.0
416,10246,2025-11-09,Normal,61.1,3.0
417,10247,2026-07-19,High,21.6,4.3
418,10250,2026-01-07,High,15.2,3.5
419,10251,2026-03-26,Normal,52.5,3.0
420,10251,2025-10-05,High,19.1,3.0
421,10251,2025-11-06,Normal,19.7,3.8
422,10252,2026-01-05,High,14.3,4.7
423,10252,2026-03-19,High,17.5,4.4
424,10254,2025-11-25,Normal,35.8,3.2
425,10255,2026-07-15,High,16.1,3.7
426,10255,2026-07-22,Normal,40.0,4.2
427,10256,2025-04-24,Normal,37.1,2.9
428,10256,2026-03-11,Low,86.0,2.6
429,10256,2026-01-07,High,19.1,4.1
430,10256,2025-09-21,High,15.3,4.2
431,10258,2025-06-24,Normal,24.1,4.4
432,10260,2025-12-19,High,10.1,5.0
433,10260,2026-01-03,High,12.9,3.4
434,10260,2026-04-20,Normal,34.0,3.9
435,10260,2026-04-21,Normal,49.4,3.5
436,10261,2026-08-22,Low,165.4,4.0
437,10261,2026-07-05,Urgent,6.9,4.1
438,10262,2025-06-26,Normal,26.2,3.9
439,10262,2025-10-04,High,28.1,3.9
440,10263,2026-01-13,Normal,43.1,3.2
441,10263,2026-02-04,Normal,56.6,2.8
442,10263,2026-03-11,High,19.7,3.8
443,10263,2026-08-16,Normal,42.3,3.1
444,10263,2026-04-07,Normal,46.7,3.5
445,10266,2026-03-11,Urgent,4.4,3.7
446,10266,2026-01-28,High,30.4,2.3
447,10266,2026-01-30,Low,79.2,3.6
448,10267,2026-02-21,Low,104.5,3.4
449,10268,2026-03-07,Low,60.0,3.3
450,10269,2026-01-26,High,17.7,4.7
451,10270,2026-04-18,Low,101.4,3.8
452,10272,2025-04-07,High,20.9,4.0
453,10272,2025-09-18,Urgent,8.6,5.0
454,10272,2026-01-15,Normal,25.3,4.5
455,10273,2025-06-12,Low,171.9,3.6
456,10275,2025-09-20,High,15.1,5.0
457,10275,2026-06-10,High,22.0,3.5
458,10275,2025-11-24,Normal,27.9,4.2
459,10275,2026-07-29,Normal,43.5,3.4
460,10275,2026-03-18,Normal,31.9,4.4
461,10275,2026-08-24,Normal,19.8,3.5
462,10276,2025-12-16,Normal,46.5,3.5
463,10276,2026-04-20,Normal,37.5,3.3
464,10277,2025-11-18,Normal,43.1,2.7
465,10277,2026-08-08,High,24.1,4.3
466,10279,2025-04-03,Normal,40.7,4.2
467,10279,2025-02-15,Normal,41.6,4.1
468,10279,2025-10-16,Normal,40.3,3.6
469,10279,2025-05-10,Normal,73.4,3.4
470,10280,2025-05-22,Normal,28.7,4.2
471,10280,2025-11-29,Normal,36.5,3.6
472,10280,2025-07-28,Low,57.5,4.0
473,10281,2026-03-03,High,15.3,4.5
474,10281,2026-02-12,Low,84.9,3.0
475,10281,2026-04-25,Normal,81.8,3.4
476,10281,2025-08-19,Normal,49.6,3.7
477,10284,2026-02-24,Normal,58.2,2.9
478,10284,2026-02-20,High,19.5,4.5
479,10284,2025-12-22,Normal,33.0,4.2
480,10284,2026-03-17,Normal,26.0,4.9
481,10284,2026-02-14,Normal,57.8,3.8
482,10284,2025-11-22,Normal,25.2,5.0
483,10285,2026-07-24,High,11.2,4.1
484,10287,2025-10-20,High,13.9,4.2
485,10287,2026-01-30,Urgent,6.8,2.4
486,10287,2025-05-07,High,19.5,3.7
487,10288,2026-03-30,Normal,27.9,3.7
488,10290,2026-01-18,Low,50.8,3.6
489,10292,2025-12-14,Normal,38.1,2.8
490,10292,2025-07-10,Urgent,6.4,5.0
491,10292,2025-12-03,Normal,21.3,4.6
492,10292,2025-09-27,High,17.6,4.2
493,10292,2025-12-04,Normal,27.4,3.6
494,10294,2025-08-09,High,17.0,4.5
495,10294,2025-12-14,Urgent,4.9,5.0
496,10294,2025-11-22,Normal,102.4,3.2
497,10295,2025-11-28,High,15.7,3.6
498,10295,2026-05-18,Normal,42.0,3.2
499,10295,2026-05-22,Urgent,4.6,3.9
500,10296,2026-01-25,Normal,30.2,4.2
501,10296,2026-02-15,High,34.5,3.5
502,10297,2026-06-04,Normal,39.5,4.6
503,10297,2026-07-29,Normal,26.7,4.5
504,10300,2025-12-12,High,32.3,3.4
505,10300,2025-06-28,Normal,28.5,3.4
506,10300,2025-12-19,Normal,34.9,4.5
507,10300,2025-08-22,Normal,34.9,4.0
508,10300,2025-07-28,Low,46.0,2.7
509,10301,2026-07-05,Low,89.8,3.9
510,10301,2025-08-07,Normal,48.8,3.0
511,10301,2026-05-19,Normal,71.7,4.0
512,10301,2026-07-19,Low,64.3,3.4
513,10301,2025-08-07,Normal,61.5,4.2
514,10302,2026-07-31,Normal,39.1,3.4
515,10303,2025-09-05,High,14.7,4.4
516,10303,2025-09-01,Low,45.1,4.4
517,10307,2026-01-22,High,17.4,5.0
518,10307,2025-08-07,Low,74.1,3.1
519,10308,2026-04-23,Urgent,3.9,4.2
520,10308,2026-06-30,Normal,39.4,3.6
521,10308,2026-06-30,Low,57.3,3.9
522,10309,2025-10-02,Normal,35.2,2.9
523,10309,2025-08-24,High,17.8,4.1
524,10309,2026-03-21,High,26.5,3.1
525,10310,2025-07-09,Normal,34.2,4.0
526,10310,2026-01-07,High,17.1,3.3
527,10310,2025-11-07,High,16.1,4.1
528,10311,2026-06-22,High,6.8,5.0
529,10311,2026-03-21,Low,39.2,3.4
530,10311,2026-06-14,Normal,23.9,2.3
531,10312,2026-02-25,Normal,48.4,3.7
532,10313,2025-12-22,Low,85.9,3.3
533,10313,2025-05-21,High,8.2,4.5
534,10314,2025-07-08,Normal,42.1,3.9
535,10314,2025-12-28,Normal,43.7,3.6
536,10315,2026-06-28,Normal,54.7,2.8
537,10315,2026-02-01,Low,71.5,3.7
538,10316,2026-03-02,Normal,55.2,4.7
539,10316,2026-06-18,Urgent,4.7,3.1
540,10316,2026-03-27,Normal,18.8,3.4
541,10318,2026-07-19,High,13.7,3.2
542,10319,2026-08-25,High,22.1,4.9
543,10319,2026-07-29,Low,53.8,3.9
544,10320,2026-07-25,Normal,41.3,4.6
545,10320,2026-05-01,Normal,57.3,4.2
546,10321,2026-05-02,Low,47.6,2.9
547,10321,2025-12-15,Normal,40.0,4.3
548,10321,2026-07-25,Normal,37.0,3.2
549,10322,2025-10-24,Normal,23.2,4.7
550,10329,2025-10-11,Normal,60.1,2.5
551,10329,2026-03-05,High,44.5,4.3
552,10331,2026-04-05,High,18.3,3.4
553,10331,2026-02-09,High,10.7,3.2
554,10332,2026-06-14,High,12.5,3.7
555,10335,2026-01-22,Low,87.2,2.2
556,10335,2025-12-29,Normal,43.0,3.4
557,10335,2026-04-01,Normal,35.1,3.2
558,10338,2026-06-06,Normal,25.1,3.4
559,10339,2026-05-22,Normal,30.9,4.2
560,10339,2025-05-23,Low,44.0,2.5
561,10339,2025-09-05,Normal,37.5,3.9
562,10339,2026-01-09,High,21.6,3.5
563,10339,2026-02-26,Normal,47.4,4.4
564,10341,2026-07-16,High,15.2,3.6
565,10341,2026-04-29,High,7.3,5.0
566,10341,2026-05-02,Normal,43.9,3.5
567,10341,2026-06-11,Normal,28.6,4.2
568,10341,2026-04-17,High,13.0,5.0
569,10342,2026-03-04,Normal,32.6,4.0
570,10343,2026-06-16,Low,167.5,4.0
571,10343,2026-04-22,Normal,35.4,3.9
572,10343,2026-06-28,Normal,41.4,4.5
573,10344,2026-03-05,Normal,24.9,5.0
574,10344,2026-08-14,Normal,54.0,2.6
575,10344,2026-03-10,Low,97.7,4.4
576,10344,2026-01-11,High,19.2,3.2
577,10344,2026-06-19,High,18.5,5.0
578,10346,2026-02-14,Normal,36.7,4.4
579,10346,2026-05-17,Urgent,8.3,4.3
580,10346,2026-06-07,Normal,39.3,2.8
581,10346,2025-09-24,Normal,25.0,3.8
582,10346,2025-07-16,Normal,21.8,3.8
583,10348,2026-08-18,High,35.5,3.2
584,10349,2026-03-22,Normal,45.5,3.5
585,10349,2025-08-25,High,11.9,3.8
586,10350,2025-12-12,Normal,30.0,3.0
587,10350,2025-09-04,Normal,48.1,3.7
588,10350,2025-07-14,Low,52.6,3.5
589,10351,2025-12-04,High,18.3,4.3
590,10351,2025-11-25,Low,52.2,5.0
591,10352,2025-05-13,High,10.2,4.1
592,10352,2025-06-01,Low,85.4,4.2
593,10352,2025-08-22,High,13.8,3.5
594,10352,2026-03-15,High,27.4,3.4
