REF_DATE,GEO,Type of structure,VALUE
2023-11-01,Alberta,Non-residential,579.0
2023-12-01,Alberta,Non-residential,528.0
2024-01-01,Alberta,Non-residential,615.0
2024-02-01,Alberta,Non-residential,650.0
2024-03-01,Alberta,Non-residential,700.0
2024-04-01,Alberta,Non-residential,700.0
2024-05-01,Alberta,Non-residential,769.0
2024-06-01,Alberta,Non-residential,763.0
2024-07-01,Alberta,Non-residential,744.0
2024-08-01,Alberta,Non-residential,712.0
2024-09-01,Alberta,Non-residential,635.0
2024-10-01,Alberta,Non-residential,584.0
2024-11-01,Alberta,Non-residential,623.0
2024-12-01,Alberta,Non-residential,580.0
2025-01-01,Alberta,Non-residential,608.0
2025-02-01,Alberta,Non-residential,670.0
2025-03-01,Alberta,Non-residential,632.0
2025-04-01,Alberta,Non-residential,712.0
2025-05-01,Alberta,Non-residential,780.0
2025-06-01,Alberta,Non-residential,801.0
2025-07-01,Alberta,Non-residential,766.0
2025-08-01,Alberta,Non-residential,777.0
2025-09-01,Alberta,Non-residential,705.0
2025-10-01,Alberta,Non-residential,614.0
2025-11-01,Alberta,Non-residential,589.0
2025-12-01,Alberta,Non-residential,634.0
2026-01-01,Alberta,Non-residential,637.0
2026-02-01,Alberta,Non-residential,599.0
2026-03-01,Alberta,Non-residential,752.0
2026-04-01,Alberta,Non-residential,778.0
2026-05-01,Alberta,Non-residential,839.0
2026-06-01,Alberta,Non-residential,798.0
2026-07-01,Alberta,Non-residential,790.0
2026-08-01,Alberta,Non-residential,730.0
2018-01-01,Alberta,Residential,775.0
2018-02-01,Alberta,Residential,740.0
2018-03-01,Alberta,Residential,873.0
2018-04-01,Alberta,Residential,999.0
2018-05-01,Alberta,Residential,929.0
2018-06-01,Alberta,Residential,929.0
2018-07-01,Alberta,Residential,1035.0
2018-08-01,Alberta,Residential,969.0
2018-09-01,Alberta,Residential,879.0
2018-10-01,Alberta,Residential,818.0
2018-11-01,Alberta,Residential,717.0
2018-12-01,Alberta,Residential,665.0
2019-01-01,Alberta,Residential,759.0
2019-02-01,Alberta,Residential,778.0
2019-03-01,Alberta,Residential,824.0
2019-04-01,Alberta,Residential,1017.0
2019-05-01,Alberta,Residential,1047.0
2019-06-01,Alberta,Residential,1096.0
2019-07-01,Alberta,Residential,1005.0
2019-08-01,Alberta,Residential,968.0
2019-09-01,Alberta,Residential,875.0
2019-10-01,Alberta,Residential,806.0
2019-11-01,Alberta,Residential,808.0
2019-12-01,Alberta,Residential,739.0
2020-01-01,Alberta,Residential,822.0
2020-02-01,Alberta,Residential,881.0
2020-03-01,Alberta,Residential,1050.0
2020-04-01,Alberta,Residential,953.0
2020-05-01,Alberta,Residential,1132.0
2020-06-01,Alberta,Residential,1105.0
2020-07-01,Alberta,Residential,1091.0
2020-08-01,Alberta,Residential,962.0
2020-09-01,Alberta,Residential,938.0
2020-10-01,Alberta,Residential,926.0
2020-11-01,Alberta,Residential,829.0
2020-12-01,Alberta,Residential,819.0
2021-01-01,Alberta,Residential,824.0
2021-02-01,Alberta,Residential,959.0
2021-03-01,Alberta,Residential,979.0
2021-04-01,Alberta,Residential,947.0
2021-05-01,Alberta,Residential,1085.0
2021-06-01,Alberta,Residential,1043.0
2021-07-01,Alberta,Residential,958.0
2021-08-01,Alberta,Residential,1045.0
2021-09-01,Alberta,Residential,1067.0
2021-10-01,Alberta,Residential,925.0
2021-11-01,Alberta,Residential,807.0
2021-12-01,Alberta,Residential,801.0
2022-01-01,Alberta,Residential,933.0
2022-02-01,Alberta,Residential,943.0
2022-03-01,Alberta,Residential,1018.0
2022-04-01,Alberta,Residential,1094.0
2022-05-01,Alberta,Residential,1159.0
2022-06-01,Alberta,Residential,1223.0
2022-07-01,Alberta,Residential,1191.0
2022-08-01,Alberta,Residential,1120.0
2022-09-01,Alberta,Residential,979.0
2022-10-01,Alberta,Residential,985.0
2022-11-01,Alberta,Residential,868.0
2022-12-01,Alberta,Residential,943.0
2023-01-01,Alberta,Residential,843.0
2023-02-01,Alberta,Residential,963.0
2023-03-01,Alberta,Residential,1050.0
2023-04-01,Alberta,Residential,1063.0
2023-05-01,Alberta,Residential,1282.0
2023-06-01,Alberta,Residential,1292.0
2023-07-01,Alberta,Residential,1174.0
2023-08-01,Alberta,Residential,1184.0
2023-09-01,Alberta,Residential,1088.0
2023-10-01,Alberta,Residential,857.0
2023-11-01,Alberta,Residential,952.0
2023-12-01,Alberta,Residential,918.0
2024-01-01,Alberta,Residential,949.0
2024-02-01,Alberta,Residential,949.0
2024-03-01,Alberta,Residential,1072.0
2024-04-01,Alberta,Residential,1158.0
2024-05-01,Alberta,Residential,1289.0
2024-06-01,Alberta,Residential,1269.0
2024-07-01,Alberta,Residential,1233.0
2024-08-01,Alberta,Residential,1259.0
2024-09-01,Alberta,Residential,1075.0
2024-10-01,Alberta,Residential,1009.0
2024-11-01,Alberta,Residential,880.0
2024-12-01,Alberta,Residential,1038.0
2025-01-01,Alberta,Residential,1031.0
2025-02-01,Alberta,Residential,1088.0
2025-03-01,Alberta,Residential,1156.0
2025-04-01,Alberta,Residential,1208.0
2025-05-01,Alberta,Residential,1274.0
2025-06-01,Alberta,Residential,1274.0
2025-07-01,Alberta,Residential,1258.0
2025-08-01,Alberta,Residential,1217.0
2025-09-01,Alberta,Residential,1218.0
2025-10-01,Alberta,Residential,1093.0
2025-11-01,Alberta,Residential,1007.0
2025-12-01,Alberta,Residential,962.0
2026-01-01,Alberta,Residential,983.0
2026-02-01,Alberta,Residential,1159.0
2026-03-01,Alberta,Residential,1183.0
2026-04-01,Alberta,Residential,1242.0
2026-05-01,Alberta,Residential,1280.0
2026-06-01,Alberta,Residential,1264.0
2026-07-01,Alberta,Residential,1301.0
2026-08-01,Alberta,Residential,1295.0
2018-01-01,British Columbia,Non-residential,420.0
2018-02-01,British Columbia,Non-residential,490.0
2018-03-01,British Columbia,Non-residential,533.0
2018-04-01,British Columbia,Non-residential,610.0
2018-05-01,British Columbia,Non-residential,669.0
2018-06-01,British Columbia,Non-residential,614.0
2018-07-01,British Columbia,Non-residential,682.0
2018-08-01,British Columbia,Non-residential,583.0
2018-09-01,British Columbia,Non-residential,596.0
2018-10-01,British Columbia,Non-residential,532.0
2018-11-01,British Columbia,Non-residential,490.0
2018-12-01,British Columbia,Non-residential,486.0
2019-01-01,British Columbia,Non-residential,486.0
2019-02-01,British Columbia,Non-residential,523.0
2019-03-01,British Columbia,Non-residential,540.0
2019-04-01,British Columbia,Non-residential,649.0
2019-05-01,British Columbia,Non-residential,753.0
2019-06-01,British Columbia,Non-residential,773.0
2019-07-01,British Columbia,Non-residential,739.0
2019-08-01,British Columbia,Non-residential,682.0
2019-09-01,British Columbia,Non-residential,586.0
2019-10-01,British Columbia,Non-residential,609.0
2019-11-01,British Columbia,Non-residential,522.0
2019-12-01,British Columbia,Non-residential,510.0
2020-01-01,British Columbia,Non-residential,518.0
2020-02-01,British Columbia,Non-residential,570.0
2020-03-01,British Columbia,Non-residential,605.0
2020-04-01,British Columbia,Non-residential,671.0
2020-05-01,British Columbia,Non-residential,676.0
2020-06-01,British Columbia,Non-residential,716.0
2020-07-01,British Columbia,Non-residential,795.0
2020-08-01,British Columbia,Non-residential,679.0
2020-09-01,British Columbia,Non-residential,624.0
2020-10-01,British Columbia,Non-residential,601.0
2020-11-01,British Columbia,Non-residential,571.0
2020-12-01,British Columbia,Non-residential,497.0
2021-01-01,British Columbia,Non-residential,544.0
2021-02-01,British Columbia,Non-residential,622.0
2021-03-01,British Columbia,Non-residential,653.0
2021-04-01,British Columbia,Non-residential,701.0
2021-05-01,British Columbia,Non-residential,789.0
2021-06-01,British Columbia,Non-residential,729.0
2021-07-01,British Columbia,Non-residential,743.0
2021-08-01,British Columbia,Non-residential,687.0
2021-09-01,British Columbia,Non-residential,706.0
2021-10-01,British Columbia,Non-residential,539.0
2021-11-01,British Columbia,Non-residential,547.0
2021-12-01,British Columbia,Non-residential,540.0
2022-01-01,British Columbia,Non-residential,597.0
2022-02-01,British Columbia,Non-residential,634.0
2022-03-01,British Columbia,Non-residential,715.0
2022-04-01,British Columbia,Non-residential,666.0
2022-05-01,British Columbia,Non-residential,785.0
2022-06-01,British Columbia,Non-residential,765.0
2022-07-01,British Columbia,Non-residential,741.0
2022-08-01,British Columbia,Non-residential,746.0
2022-09-01,British Columbia,Non-residential,647.0
2022-10-01,British Columbia,Non-residential,558.0
2022-11-01,British Columbia,Non-residential,581.0
2022-12-01,British Columbia,Non-residential,530.0
2023-01-01,British Columbia,Non-residential,575.0
2023-02-01,British Columbia,Non-residential,650.0
2023-03-01,British Columbia,Non-residential,701.0
2023-04-01,British Columbia,Non-residential,798.0
2023-05-01,British Columbia,Non-residential,776.0
2023-06-01,British Columbia,Non-residential,746.0
2023-07-01,British Columbia,Non-residential,761.0
2023-08-01,British Columbia,Non-residential,720.0
2023-09-01,British Columbia,Non-residential,660.0
2023-10-01,British Columbia,Non-residential,667.0
2023-11-01,British Columbia,Non-residential,595.0
2023-12-01,British Columbia,Non-residential,537.0
2024-01-01,British Columbia,Non-residential,644.0
2024-02-01,British Columbia,Non-residential,656.0
2024-03-01,British Columbia,Non-residential,726.0
2024-04-01,British Columbia,Non-residential,770.0
2024-05-01,British Columbia,Non-residential,828.0
2024-06-01,British Columbia,Non-residential,823.0
2024-07-01,British Columbia,Non-residential,852.0
2024-08-01,British Columbia,Non-residential,789.0
2024-09-01,British Columbia,Non-residential,738.0
2024-10-01,British Columbia,Non-residential,690.0
2024-11-01,British Columbia,Non-residential,590.0
2024-12-01,British Columbia,Non-residential,623.0
2025-01-01,British Columbia,Non-residential,635.0
2025-02-01,British Columbia,Non-residential,690.0
2025-03-01,British Columbia,Non-residential,690.0
2025-04-01,British Columbia,Non-residential,846.0
2025-05-01,British Columbia,Non-residential,833.0
2025-06-01,British Columbia,Non-residential,804.0
2025-07-01,British Columbia,Non-residential,775.0
2025-08-01,British Columbia,Non-residential,788.0
2025-09-01,British Columbia,Non-residential,745.0
2025-10-01,British Columbia,Non-residential,674.0
2025-11-01,British Columbia,Non-residential,666.0
2025-12-01,British Columbia,Non-residential,629.0
2026-01-01,British Columbia,Non-residential,686.0
2026-02-01,British Columbia,Non-residential,682.0
2026-03-01,British Columbia,Non-residential,758.0
2026-04-01,British Columbia,Non-residential,847.0
2026-05-01,British Columbia,Non-residential,940.0
2026-06-01,British Columbia,Non-residential,834.0
2026-07-01,British Columbia,Non-residential,841.0
2026-08-01,British Columbia,Non-residential,792.0
2018-01-01,British Columbia,Residential,755.0
2018-02-01,British Columbia,Residential,847.0
2018-03-01,British Columbia,Residential,987.0
2018-04-01,British Columbia,Residential,1132.0
2018-05-01,British Columbia,Residential,1079.0
2018-06-01,British Columbia,Residential,1111.0
2018-07-01,British Columbia,Residential,1105.0
2018-08-01,British Columbia,Residential,1111.0
2018-09-01,British Columbia,Residential,954.0
2018-10-01,British Columbia,Residential,957.0
2018-11-01,British Columbia,Residential,763.0
2018-12-01,British Columbia,Residential,787.0
2019-01-01,British Columbia,Residential,812.0
2019-02-01,British Columbia,Residential,931.0
2019-03-01,British Columbia,Residential,1033.0
2019-04-01,British Columbia,Residential,977.0
2019-05-01,British Columbia,Residential,1074.0
2019-06-01,British Columbia,Residential,1170.0
2019-07-01,British Columbia,Residential,1095.0
2019-08-01,British Columbia,Residential,989.0
2019-09-01,British Columbia,Residential,1051.0
2019-10-01,British Columbia,Residential,940.0
2019-11-01,British Columbia,Residential,882.0
2019-12-01,British Columbia,Residential,809.0
2020-01-01,British Columbia,Residential,918.0
2020-02-01,British Columbia,Residential,912.0
2020-03-01,British Columbia,Residential,1073.0
2020-04-01,British Columbia,Residential,1048.0
2020-05-01,British Columbia,Residential,1116.0
2020-06-01,British Columbia,Residential,1200.0
2020-07-01,British Columbia,Residential,1131.0
2020-08-01,British Columbia,Residential,1149.0
2020-09-01,British Columbia,Residential,1046.0
2020-10-01,British Columbia,Residential,899.0
2020-11-01,British Columbia,Residential,897.0
2020-12-01,British Columbia,Residential,854.0
2021-01-01,British Columbia,Residential,950.0
2021-02-01,British Columbia,Residential,928.0
2021-03-01,British Columbia,Residential,1026.0
2021-04-01,British Columbia,Residential,1205.0
2021-05-01,British Columbia,Residential,1326.0
2021-06-01,British Columbia,Residential,1339.0
2021-07-01,British Columbia,Residential,1211.0
2021-08-01,British Columbia,Residential,1162.0
2021-09-01,British Columbia,Residential,1155.0
2021-10-01,British Columbia,Residential,982.0
2021-11-01,British Columbia,Residential,876.0
2021-12-01,British Columbia,Residential,918.0
2022-01-01,British Columbia,Residential,962.0
2022-02-01,British Columbia,Residential,955.0
2022-03-01,British Columbia,Residential,996.0
2022-04-01,British Columbia,Residential,1095.0
2022-05-01,British Columbia,Residential,1276.0
2022-06-01,British Columbia,Residential,1223.0
2022-07-01,British Columbia,Residential,1238.0
2022-08-01,British Columbia,Residential,1199.0
2022-09-01,British Columbia,Residential,1142.0
2022-10-01,British Columbia,Residential,1008.0
2022-11-01,British Columbia,Residential,996.0
2022-12-01,British Columbia,Residential,899.0
2023-01-01,British Columbia,Residential,954.0
2023-02-01,British Columbia,Residential,982.0
2023-03-01,British Columbia,Residential,1189.0
2023-04-01,British Columbia,Residential,1211.0
2023-05-01,British Columbia,Residential,1236.0
2023-06-01,British Columbia,Residential,1283.0
2023-07-01,British Columbia,Residential,1271.0
2023-08-01,British Columbia,Residential,1265.0
2023-09-01,British Columbia,Residential,1056.0
2023-10-01,British Columbia,Residential,1006.0
2023-11-01,British Columbia,Residential,985.0
2023-12-01,British Columbia,Residential,1128.0
2024-01-01,British Columbia,Residential,1066.0
2024-02-01,British Columbia,Residential,1071.0
2024-03-01,British Columbia,Residential,1204.0
2024-04-01,British Columbia,Residential,1366.0
2024-05-01,British Columbia,Residential,1302.0
2024-06-01,British Columbia,Residential,1320.0
2024-07-01,British Columbia,Residential,1389.0
2024-08-01,British Columbia,Residential,1291.0
2024-09-01,British Columbia,Residential,1220.0
2024-10-01,British Columbia,Residential,1074.0
2024-11-01,British Columbia,Residential,1152.0
2024-12-01,British Columbia,Residential,1120.0
2025-01-01,British Columbia,Residential,1082.0
2025-02-01,British Columbia,Residential,1153.0
2025-03-01,British Columbia,Residential,1089.0
2025-04-01,British Columbia,Residential,1324.0
2025-05-01,British Columbia,Residential,1342.0
2025-06-01,British Columbia,Residential,1403.0
2025-07-01,British Columbia,Residential,1397.0
2025-08-01,British Columbia,Residential,1282.0
2025-09-01,British Columbia,Residential,1126.0
2025-10-01,British Columbia,Residential,1161.0
2025-11-01,British Columbia,Residential,1041.0
2025-12-01,British Columbia,Residential,1044.0
2026-01-01,British Columbia,Residential,1055.0
2026-02-01,British Columbia,Residential,1134.0
2026-03-01,British Columbia,Residential,1111.0
2026-04-01,British Columbia,Residential,1394.0
2026-05-01,British Columbia,Residential,1405.0
2026-06-01,British Columbia,Residential,1479.0
2026-07-01,British Columbia,Residential,1508.0
2026-08-01,British Columbia,Residential,1340.0
2018-01-01,Canada,Non-residential,2867.0
2018-02-01,Canada,Non-residential,3162.0
2018-03-01,Canada,Non-residential,3679.0
2018-04-01,Canada,Non-residential,4078.0
2018-05-01,Canada,Non-residential,4184.0
2018-06-01,Canada,Non-residential,4277.0
2018-07-01,Canada,Non-residential,4398.0
2018-08-01,Canada,Non-residential,4133.0
2018-09-01,Canada,Non-residential,3484.0
2018-10-01,Canada,Non-residential,3378.0
2018-11-01,Canada,Non-residential,3178.0
2018-12-01,Canada,Non-residential,2867.0
2019-01-01,Canada,Non-residential,3251.0
2019-02-01,Canada,Non-residential,3259.0
2019-03-01,Canada,Non-residential,3992.0
2019-04-01,Canada,Non-residential,4161.0
2019-05-01,Canada,Non-residential,4388.0
2019-06-01,Canada,Non-residential,4340.0
2019-07-01,Canada,Non-residential,4368.0
2019-08-01,Canada,Non-residential,3735.0
2019-09-01,Canada,Non-residential,3610.0
2019-10-01,Canada,Non-residential,3621.0
2019-11-01,Canada,Non-residential,2856.0
2019-12-01,Canada,Non-residential,3426.0
2020-01-01,Canada,Non-residential,2963.0
2020-02-01,Canada,Non-residential,3756.0
2020-03-01,Canada,Non-residential,3746.0
2020-04-01,Canada,Non-residential,4435.0
2020-05-01,Canada,Non-residential,4545.0
2020-06-01,Canada,Non-residential,4283.0
2020-07-01,Canada,Non-residential,4811.0
2020-08-01,Canada,Non-residential,4627.0
2020-09-01,Canada,Non-residential,3988.0
2020-10-01,Canada,Non-residential,3631.0
2020-11-01,Canada,Non-residential,3430.0
2020-12-01,Canada,Non-residential,3178.0
2021-01-01,Canada,Non-residential,3727.0
2021-02-01,Canada,Non-residential,3621.0
2021-03-01,Canada,Non-residential,4065.0
2021-04-01,Canada,Non-residential,4241.0
2021-05-01,Canada,Non-residential,4528.0
2021-06-01,Canada,Non-residential,4486.0
2021-07-01,Canada,Non-residential,4960.0
2021-08-01,Canada,Non-residential,4429.0
2021-09-01,Canada,Non-residential,4359.0
2021-10-01,Canada,Non-residential,3840.0
2021-11-01,Canada,Non-residential,3461.0
2021-12-01,Canada,Non-residential,3466.0
2022-01-01,Canada,Non-residential,3515.0
2022-02-01,Canada,Non-residential,3888.0
2022-03-01,Canada,Non-residential,4142.0
2022-04-01,Canada,Non-residential,4496.0
2022-05-01,Canada,Non-residential,4512.0
2022-06-01,Canada,Non-residential,4735.0
2022-07-01,Canada,Non-residential,5193.0
2022-08-01,Canada,Non-residential,4464.0
2022-09-01,Canada,Non-residential,4069.0
2022-10-01,Canada,Non-residential,4057.0
2022-11-01,Canada,Non-residential,4064.0
2022-12-01,Canada,Non-residential,3369.0
2023-01-01,Canada,Non-residential,3738.0
2023-02-01,Canada,Non-residential,3896.0
2023-03-01,Canada,Non-residential,3989.0
2023-04-01,Canada,Non-residential,4867.0
2023-05-01,Canada,Non-residential,4953.0
2023-06-01,Canada,Non-residential,5073.0
2023-07-01,Canada,Non-residential,4819.0
2023-08-01,Canada,Non-residential,4855.0
2023-09-01,Canada,Non-residential,4327.0
2023-10-01,Canada,Non-residential,4101.0
2023-11-01,Canada,Non-residential,3666.0
2023-12-01,Canada,Non-residential,3568.0
2024-01-01,Canada,Non-residential,4220.0
2024-02-01,Canada,Non-residential,4071.0
2024-03-01,Canada,Non-residential,4581.0
2024-04-01,Canada,Non-residential,4848.0
2024-05-01,Canada,Non-residential,5009.0
2024-06-01,Canada,Non-residential,5094.0
2024-07-01,Canada,Non-residential,5266.0
2024-08-01,Canada,Non-residential,4839.0
2024-09-01,Canada,Non-residential,4559.0
2024-10-01,Canada,Non-residential,4284.0
2024-11-01,Canada,Non-residential,4308.0
2024-12-01,Canada,Non-residential,4126.0
2025-01-01,Canada,Non-residential,4161.0
2025-02-01,Canada,Non-residential,4206.0
2025-03-01,Canada,Non-residential,4366.0
2025-04-01,Canada,Non-residential,5208.0
2025-05-01,Canada,Non-residential,5462.0
2025-06-01,Canada,Non-residential,5321.0
2025-07-01,Canada,Non-residential,5394.0
2025-08-01,Canada,Non-residential,5220.0
2025-09-01,Canada,Non-residential,4919.0
2025-10-01,Canada,Non-residential,4626.0
2025-11-01,Canada,Non-residential,4102.0
2025-12-01,Canada,Non-residential,4454.0
2026-01-01,Canada,Non-residential,3955.0
2026-02-01,Canada,Non-residential,4662.0
2026-03-01,Canada,Non-residential,4919.0
2026-04-01,Canada,Non-residential,5339.0
2026-05-01,Canada,Non-residential,5806.0
2026-06-01,Canada,Non-residential,5820.0
2026-07-01,Canada,Non-residential,5176.0
2026-08-01,Canada,Non-residential,4833.0
2018-01-01,Canada,Residential,4972.0
2018-02-01,Canada,Residential,5485.0
2018-03-01,Canada,Residential,5833.0
2018-04-01,Canada,Residential,6165.0
2018-05-01,Canada,Residential,6728.0
2018-06-01,Canada,Residential,6700.0
2018-07-01,Canada,Residential,6950.0
2018-08-01,Canada,Residential,7034.0
2018-09-01,Canada,Residential,5876.0
2018-10-01,Canada,Residential,5321.0
2018-11-01,Canada,Residential,5345.0
2018-12-01,Canada,Residential,5176.0
2019-01-01,Canada,Residential,5249.0
2019-02-01,Canada,Residential,5291.0
2019-03-01,Canada,Residential,6160.0
2019-04-01,Canada,Residential,6966.0
2019-05-01,Canada,Residential,6653.0
2019-06-01,Canada,Residential,7129.0
2019-07-01,Canada,Residential,6497.0
2019-08-01,Canada,Residential,6345.0
2019-09-01,Canada,Residential,5639.0
2019-10-01,Canada,Residential,5697.0
2019-11-01,Canada,Residential,4964.0
2019-12-01,Canada,Residential,5386.0
2020-01-01,Canada,Residential,5508.0
2020-02-01,Canada,Residential,5794.0
2020-03-01,Canada,Residential,5521.0
2020-04-01,Canada,Residential,6770.0
2020-05-01,Canada,Residential,7351.0
2020-06-01,Canada,Residential,7571.0
2020-07-01,Canada,Residential,6868.0
2020-08-01,Canada,Residential,6872.0
2020-09-01,Canada,Residential,6185.0
2020-10-01,Canada,Residential,5735.0
2020-11-01,Canada,Residential,6027.0
2020-12-01,Canada,Residential,5245.0
2021-01-01,Canada,Residential,5681.0
2021-02-01,Canada,Residential,6413.0
2021-03-01,Canada,Residential,6444.0
2021-04-01,Canada,Residential,7161.0
2021-05-01,Canada,Residential,7648.0
2021-06-01,Canada,Residential,7793.0
2021-07-01,Canada,Residential,7216.0
2021-08-01,Canada,Residential,7308.0
2021-09-01,Canada,Residential,7251.0
2021-10-01,Canada,Residential,5714.0
2021-11-01,Canada,Residential,6196.0
2021-12-01,Canada,Residential,5813.0
2022-01-01,Canada,Residential,5706.0
2022-02-01,Canada,Residential,7048.0
2022-03-01,Canada,Residential,7160.0
2022-04-01,Canada,Residential,7017.0
2022-05-01,Canada,Residential,7875.0
2022-06-01,Canada,Residential,8215.0
2022-07-01,Canada,Residential,7822.0
2022-08-01,Canada,Residential,7762.0
2022-09-01,Canada,Residential,6987.0
2022-10-01,Canada,Residential,6737.0
2022-11-01,Canada,Residential,6641.0
2022-12-01,Canada,Residential,5772.0
2023-01-01,Canada,Residential,6245.0
2023-02-01,Canada,Residential,6417.0
2023-03-01,Canada,Residential,7176.0
2023-04-01,Canada,Residential,7261.0
2023-05-01,Canada,Residential,7884.0
2023-06-01,Canada,Residential,8182.0
2023-07-01,Canada,Residential,8447.0
2023-08-01,Canada,Residential,8166.0
2023-09-01,Canada,Residential,6783.0
2023-10-01,Canada,Residential,6460.0
2023-11-01,Canada,Residential,6601.0
2023-12-01,Canada,Residential,5547.0
2024-01-01,Canada,Residential,6249.0
2024-02-01,Canada,Residential,6787.0
2024-03-01,Canada,Residential,7815.0
2024-04-01,Canada,Residential,8165.0
2024-05-01,Canada,Residential,8214.0
2024-06-01,Canada,Residential,8361.0
2024-07-01,Canada,Residential,8281.0
2024-08-01,Canada,Residential,8540.0
2024-09-01,Canada,Residential,7340.0
2024-10-01,Canada,Residential,6874.0
2024-11-01,Canada,Residential,6738.0
2024-12-01,Canada,Residential,6448.0
2025-01-01,Canada,Residential,6583.0
2025-02-01,Canada,Residential,6667.0
2025-03-01,Canada,Residential,7607.0
2025-04-01,Canada,Residential,8005.0
2025-05-01,Canada,Residential,8982.0
2025-06-01,Canada,Residential,8962.0
2025-07-01,Canada,Residential,8601.0
2025-08-01,Canada,Residential,8478.0
2025-09-01,Canada,Residential,7611.0
2025-10-01,Canada,Residential,7593.0
2025-11-01,Canada,Residential,6851.0
2025-12-01,Canada,Residential,6937.0
2026-01-01,Canada,Residential,6437.0
2026-02-01,Canada,Residential,7424.0
2026-03-01,Canada,Residential,7255.0
2026-04-01,Canada,Residential,7682.0
2026-05-01,Canada,Residential,8702.0
2026-06-01,Canada,Residential,8654.0
2026-07-01,Canada,Residential,8908.0
2026-08-01,Canada,Residential,9275.0
2018-01-01,Ontario,Non-residential,1105.0
2018-02-01,Ontario,Non-residential,1189.0
2018-03-01,Ontario,Non-residential,1372.0
2018-04-01,Ontario,Non-residential,1419.0
2018-05-01,Ontario,Non-residential,1650.0
2018-06-01,Ontario,Non-residential,1629.0
2018-07-01,Ontario,Non-residential,1630.0
2018-08-01,Ontario,Non-residential,1509.0
2018-09-01,Ontario,Non-residential,1345.0
2018-10-01,Ontario,Non-residential,1209.0
2018-11-01,Ontario,Non-residential,1182.0
2018-12-01,Ontario,Non-residential,1128.0
2019-01-01,Ontario,Non-residential,1230.0
2019-02-01,Ontario,Non-residential,1305.0
2019-03-01,Ontario,Non-residential,1321.0
2019-04-01,Ontario,Non-residential,1566.0
2019-05-01,Ontario,Non-residential,1545.0
2019-06-01,Ontario,Non-residential,1643.0
2019-07-01,Ontario,Non-residential,1641.0
2019-08-01,Ontario,Non-residential,1409.0
2019-09-01,Ontario,Non-residential,1468.0
2019-10-01,Ontario,Non-residential,1355.0
