origin,dest,quarter,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,load_factor,avg_fare,revenue,op_cost,casm_cents
ORD,MIA,3,Chicago O'Hare,Miami,hub,spoke,1199.5,85,13600,10607,0.78,170.28,1806159.96,1038739.87,6.37
MIA,ORD,3,Miami,Chicago O'Hare,spoke,hub,1199.5,92,17388,15806,0.909,198.64,3139703.84,1327736.06,6.37
ORD,MIA,4,Chicago O'Hare,Miami,hub,spoke,1199.5,99,15840,11056,0.698,218.05,2410760.8,1134321.81,5.97
MIA,ORD,4,Miami,Chicago O'Hare,spoke,hub,1199.5,91,6916,4693,0.679,169.43,795134.99,769155.45,9.27
ORD,PHX,1,Chicago O'Hare,Phoenix,hub,spoke,1437.8,77,14553,12713,0.874,159.97,2033698.61,1442732.06,6.89
PHX,ORD,1,Phoenix,Chicago O'Hare,spoke,hub,1437.8,91,6916,6121,0.885,160.01,979421.21,865141.35,8.7
ORD,PHX,2,Chicago O'Hare,Phoenix,hub,spoke,1437.8,79,14931,12543,0.84,193.99,2433216.57,1395283.01,6.5
PHX,ORD,2,Phoenix,Chicago O'Hare,spoke,hub,1437.8,84,13440,11188,0.833,198.85,2224733.8,1337836.4,6.92
ORD,PHX,3,Chicago O'Hare,Phoenix,hub,spoke,1437.8,86,12900,10579,0.82,144.59,1529617.61,1158605.0,6.25
PHX,ORD,3,Phoenix,Chicago O'Hare,spoke,hub,1437.8,79,12640,9858,0.78,197.03,1942321.74,1201363.37,6.61
ORD,PHX,4,Chicago O'Hare,Phoenix,hub,spoke,1437.8,85,13600,9662,0.71,188.19,1818291.78,1386347.49,7.09
PHX,ORD,4,Phoenix,Chicago O'Hare,spoke,hub,1437.8,75,5700,4550,0.798,198.66,903903.0,658979.31,8.04
ORD,IAH,1,Chicago O'Hare,Houston,hub,spoke,926.7,85,13600,9152,0.673,147.77,1352391.04,815333.15,6.47
IAH,ORD,1,Houston,Chicago O'Hare,spoke,hub,926.7,75,12000,9023,0.752,139.04,1254557.92,811289.01,7.3
ORD,IAH,2,Chicago O'Hare,Houston,hub,spoke,926.7,72,10800,7754,0.718,165.57,1283829.78,725665.36,7.25
IAH,ORD,2,Houston,Chicago O'Hare,spoke,hub,926.7,88,16632,11999,0.721,140.49,1685739.51,1070116.54,6.94
ORD,IAH,3,Chicago O'Hare,Houston,hub,spoke,926.7,106,15900,14064,0.885,133.69,1880216.16,1146654.67,7.78
IAH,ORD,3,Houston,Chicago O'Hare,spoke,hub,926.7,79,14931,14122,0.946,119.65,1689697.3,970344.31,7.01
ORD,IAH,4,Chicago O'Hare,Houston,hub,spoke,926.7,68,10880,9254,0.851,141.09,1305646.86,698090.11,6.92
IAH,ORD,4,Houston,Chicago O'Hare,spoke,hub,926.7,72,13608,10646,0.782,141.11,1502257.06,876260.67,6.95
ORD,BOS,1,Chicago O'Hare,Boston,hub,spoke,863.9,98,15680,11061,0.705,119.48,1321568.28,1014310.49,7.49
BOS,ORD,1,Boston,Chicago O'Hare,spoke,hub,863.9,95,17955,13346,0.743,122.95,1640890.7,1221602.51,7.88
ORD,BOS,2,Chicago O'Hare,Boston,hub,spoke,863.9,77,12320,11918,0.967,140.84,1678531.12,746624.06,7.01
BOS,ORD,2,Boston,Chicago O'Hare,spoke,hub,863.9,85,16065,11791,0.734,121.77,1435790.07,986076.89,7.11
ORD,BOS,3,Chicago O'Hare,Boston,hub,spoke,863.9,65,4940,4655,0.942,138.67,645508.85,449738.56,10.54
BOS,ORD,3,Boston,Chicago O'Hare,spoke,hub,863.9,92,6992,6632,0.949,153.3,1016685.6,569107.61,9.42
ORD,BOS,4,Chicago O'Hare,Boston,hub,spoke,863.9,61,4636,3270,0.705,149.49,488832.3,399548.87,9.98
BOS,ORD,4,Boston,Chicago O'Hare,spoke,hub,863.9,79,14931,11968,0.802,125.24,1498872.32,898522.84,6.97
ORD,SFO,1,Chicago O'Hare,San Francisco,hub,spoke,1842.2,88,13200,9977,0.756,270.36,2697381.72,1456855.33,5.99
SFO,ORD,1,San Francisco,Chicago O'Hare,spoke,hub,1842.2,88,13200,7485,0.567,204.87,1533451.95,1491033.57,6.13
ORD,SFO,2,Chicago O'Hare,San Francisco,hub,spoke,1842.2,77,12320,11705,0.95,255.04,2985243.2,1458750.71,6.43
SFO,ORD,2,San Francisco,Chicago O'Hare,spoke,hub,1842.2,98,7448,6661,0.894,200.79,1337462.19,1188482.07,8.66
ORD,SFO,3,Chicago O'Hare,San Francisco,hub,spoke,1842.2,81,6156,5971,0.97,234.0,1397214.0,994970.85,8.77
SFO,ORD,3,San Francisco,Chicago O'Hare,spoke,hub,1842.2,106,15900,13066,0.822,221.26,2890983.16,1853369.36,6.33
ORD,SFO,4,Chicago O'Hare,San Francisco,hub,spoke,1842.2,88,6688,4653,0.696,243.98,1135238.94,962297.55,7.81
SFO,ORD,4,San Francisco,Chicago O'Hare,spoke,hub,1842.2,96,15360,11742,0.764,256.7,3014171.4,1920423.95,6.79
ORD,LAS,1,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,70,10500,9873,0.94,158.18,1561711.14,1094758.66,6.9
LAS,ORD,1,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,78,12480,12105,0.97,148.0,1791540.0,1200241.62,6.36
ORD,LAS,2,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,84,13440,10181,0.758,189.0,1924209.0,1171825.62,5.77
LAS,ORD,2,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,78,11700,8015,0.685,201.84,1617747.6,1051113.22,5.95
ORD,LAS,3,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,74,11840,8915,0.753,190.22,1695811.3,1196684.62,6.69
LAS,ORD,3,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,65,12285,10203,0.831,190.7,1945712.1,1267299.55,6.83
ORD,LAS,4,Chicago O'Hare,Las Vegas,hub,spoke,1511.2,79,12640,9053,0.716,163.79,1482790.87,1314116.94,6.88
LAS,ORD,4,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,99,15840,11884,0.75,159.13,1891100.92,1558630.84,6.51
ORD,MSP,1,Chicago O'Hare,Minneapolis,hub,spoke,333.7,74,5624,3473,0.618,66.39,230572.47,256046.42,13.64
MSP,ORD,1,Minneapolis,Chicago O'Hare,spoke,hub,333.7,84,13440,11150,0.83,64.00486069079463,713654.2,430393.66,9.6
ORD,MSP,2,Chicago O'Hare,Minneapolis,hub,spoke,333.7,88,13200,9099,0.689,64.00486069079463,582380.23,416169.1,9.45
MSP,ORD,2,Minneapolis,Chicago O'Hare,spoke,hub,333.7,71,10650,8015,0.753,64.00486069079463,512998.96,321293.91,9.04
ORD,MSP,3,Chicago O'Hare,Minneapolis,hub,spoke,333.7,68,12852,11764,0.915,64.00486069079463,752953.18,391704.69,9.13
MSP,ORD,3,Minneapolis,Chicago O'Hare,spoke,hub,333.7,85,12750,10952,0.859,64.00486069079463,700981.23,348692.28,8.2
ORD,MSP,4,Chicago O'Hare,Minneapolis,hub,spoke,333.7,68,10200,8035,0.788,64.00486069079463,514279.06,414476.13,12.18
MSP,ORD,4,Minneapolis,Chicago O'Hare,spoke,hub,333.7,60,4560,3934,0.863,64.00486069079463,251795.12,170741.08,11.22
ORD,DTW,1,Chicago O'Hare,Detroit,hub,spoke,233.8,82,12300,10132,0.824,62.50688006219597,633319.71,323598.45,11.25
DTW,ORD,1,Detroit,Chicago O'Hare,spoke,hub,233.8,96,15360,10519,0.685,62.50688006219597,657509.87,372808.48,10.38
ORD,DTW,2,Chicago O'Hare,Detroit,hub,spoke,233.8,79,11850,11447,0.966,62.50688006219597,715516.26,280831.8,10.14
DTW,ORD,2,Detroit,Chicago O'Hare,spoke,hub,233.8,77,12320,10178,0.826,62.50688006219597,636195.03,249591.72,8.67
ORD,DTW,3,Chicago O'Hare,Detroit,hub,spoke,233.8,88,6688,6487,0.97,62.50688006219597,405482.13,233982.53,14.96
DTW,ORD,3,Detroit,Chicago O'Hare,spoke,hub,233.8,93,13950,13531,0.97,62.50688006219597,845780.59,336813.86,10.33
ORD,DTW,4,Chicago O'Hare,Detroit,hub,spoke,233.8,78,5928,4802,0.81,62.50688006219597,300158.04,183738.6,13.26
DTW,ORD,4,Detroit,Chicago O'Hare,spoke,hub,233.8,91,14560,11886,0.816,62.50688006219597,742956.78,326511.92,9.59
ORD,PDX,1,Chicago O'Hare,Portland,hub,spoke,1735.0,82,12300,10180,0.828,235.25,2394845.0,1289414.23,6.04
PDX,ORD,1,Portland,Chicago O'Hare,spoke,hub,1735.0,85,16065,10652,0.663,238.73,2542951.96,1920128.67,6.89
ORD,PDX,2,Chicago O'Hare,Portland,hub,spoke,1735.0,82,15498,11764,0.759,287.77,3385326.28,1568006.09,5.83
PDX,ORD,2,Portland,Chicago O'Hare,spoke,hub,1735.0,78,5928,4262,0.719,173.56,739712.72,813905.86,7.91
ORD,PDX,3,Chicago O'Hare,Portland,hub,spoke,1735.0,92,13800,11051,0.801,182.37,2015370.87,1472351.93,6.15
PDX,ORD,3,Portland,Chicago O'Hare,spoke,hub,1735.0,81,12150,11785,0.97,243.95,2874950.75,1169499.26,5.55
ORD,PDX,4,Chicago O'Hare,Portland,hub,spoke,1735.0,62,9300,7334,0.789,212.15,1555908.1,1219623.1,7.56
PDX,ORD,4,Portland,Chicago O'Hare,spoke,hub,1735.0,62,9300,5358,0.576,252.07,1350591.06,809845.48,5.02
ORD,SLC,1,Chicago O'Hare,Salt Lake City,hub,spoke,1246.9,79,12640,8762,0.693,157.55,1380453.1,1109656.89,7.04
SLC,ORD,1,Salt Lake City,Chicago O'Hare,spoke,hub,1246.9,89,13350,10305,0.772,138.41,1426315.05,1172392.62,7.04
ORD,SLC,2,Chicago O'Hare,Salt Lake City,hub,spoke,1246.9,67,10720,9187,0.857,172.23,1582277.01,1034213.11,7.74
SLC,ORD,2,Salt Lake City,Chicago O'Hare,spoke,hub,1246.9,74,13986,11553,0.826,144.49,1669292.97,1157698.93,6.64
ORD,SLC,3,Chicago O'Hare,Salt Lake City,hub,spoke,1246.9,75,12000,11640,0.97,173.39,2018259.6,1121820.2,7.5
SLC,ORD,3,Salt Lake City,Chicago O'Hare,spoke,hub,1246.9,81,15309,13316,0.87,174.01,2317117.16,1414740.31,7.41
ORD,SLC,4,Chicago O'Hare,Salt Lake City,hub,spoke,1246.9,81,12150,9668,0.796,215.81,2086451.08,965916.88,6.38
SLC,ORD,4,Salt Lake City,Chicago O'Hare,spoke,hub,1246.9,85,12750,10191,0.799,147.23,1500420.93,910631.98,5.73
ORD,STL,1,Chicago O'Hare,St. Louis,hub,spoke,258.3,74,5624,4240,0.754,68.1,288744.0,177295.97,12.21
STL,ORD,1,St. Louis,Chicago O'Hare,spoke,hub,258.3,102,15300,10327,0.675,62.873952292893605,649299.31,387718.43,9.81
ORD,STL,2,Chicago O'Hare,St. Louis,hub,spoke,258.3,75,11250,8320,0.74,62.873952292893605,523111.28,320294.39,11.02
STL,ORD,2,St. Louis,Chicago O'Hare,spoke,hub,258.3,82,15498,11334,0.731,62.873952292893605,712613.38,424371.77,10.6
ORD,STL,3,Chicago O'Hare,St. Louis,hub,spoke,258.3,78,5928,5401,0.911,62.873952292893605,339582.22,241209.11,15.76
STL,ORD,3,St. Louis,Chicago O'Hare,spoke,hub,258.3,81,15309,14849,0.97,62.873952292893605,933615.32,356817.13,9.02
ORD,STL,4,Chicago O'Hare,St. Louis,hub,spoke,258.3,102,19278,14739,0.765,62.873952292893605,926699.18,571629.7,11.48
STL,ORD,4,St. Louis,Chicago O'Hare,spoke,hub,258.3,91,14560,12366,0.849,62.873952292893605,777499.29,336178.6,8.94
ORD,MCI,1,Chicago O'Hare,Kansas City,hub,spoke,402.0,72,13608,10001,0.735,71.2,712071.2,557828.99,10.2
MCI,ORD,1,Kansas City,Chicago O'Hare,spoke,hub,402.0,96,18144,13189,0.727,65.03053591783232,857687.74,657358.08,9.01
ORD,MCI,2,Chicago O'Hare,Kansas City,hub,spoke,402.0,78,5928,4515,0.762,65.03053591783232,293612.87,265866.86,11.16
MCI,ORD,2,Kansas City,Chicago O'Hare,spoke,hub,402.0,88,14080,11356,0.807,74.85,849996.6,590245.6,10.43
ORD,MCI,3,Chicago O'Hare,Kansas City,hub,spoke,402.0,92,13800,12235,0.887,65.58,802371.3,500377.41,9.02
MCI,ORD,3,Kansas City,Chicago O'Hare,spoke,hub,402.0,77,11550,10589,0.917,79.91,846166.99,392097.77,8.44
ORD,MCI,4,Chicago O'Hare,Kansas City,hub,spoke,402.0,106,16960,13012,0.767,88.58,1152602.96,543652.97,7.97
MCI,ORD,4,Kansas City,Chicago O'Hare,spoke,hub,402.0,72,10800,7927,0.734,87.57,694167.39,381929.71,8.8
ORD,OMA,1,Chicago O'Hare,Omaha,hub,spoke,415.1,95,14250,10743,0.754,97.26,1044864.18,502653.9,8.5
OMA,ORD,1,Omaha,Chicago O'Hare,spoke,hub,415.1,98,7448,5515,0.741,77.25,426033.75,427615.34,13.83
ORD,OMA,2,Chicago O'Hare,Omaha,hub,spoke,415.1,79,12640,9304,0.736,65.22629798541588,606865.48,511602.43,9.75
OMA,ORD,2,Omaha,Chicago O'Hare,spoke,hub,415.1,84,13440,10225,0.761,83.82,857059.5,596443.69,10.69
ORD,OMA,3,Chicago O'Hare,Omaha,hub,spoke,415.1,93,17577,15589,0.887,78.23,1219527.47,699970.91,9.59
OMA,ORD,3,Omaha,Chicago O'Hare,spoke,hub,415.1,89,14240,12881,0.905,78.83,1015409.23,503419.38,8.52
ORD,OMA,4,Chicago O'Hare,Omaha,hub,spoke,415.1,96,7296,5495,0.753,68.74,377726.3,356164.79,11.76
OMA,ORD,4,Omaha,Chicago O'Hare,spoke,hub,415.1,75,12000,9118,0.76,73.75,672452.5,521590.59,10.47
ORD,BOI,1,Chicago O'Hare,Boise,hub,spoke,1433.6,88,6688,4949,0.74,191.39,947189.11,782031.99,8.16
BOI,ORD,1,Boise,Chicago O'Hare,spoke,hub,1433.6,91,14560,11735,0.806,145.09,1702631.15,1400271.77,6.71
ORD,BOI,2,Chicago O'Hare,Boise,hub,spoke,1433.6,89,13350,10609,0.795,154.37,1637711.33,1313874.33,6.87
BOI,ORD,2,Boise,Chicago O'Hare,spoke,hub,1433.6,74,11840,8259,0.698,209.45,1729847.55,1092028.67,6.43
ORD,BOI,3,Chicago O'Hare,Boise,hub,spoke,1433.6,81,15309,12577,0.822,204.92,2577278.84,1334525.5,6.08
BOI,ORD,3,Boise,Chicago O'Hare,spoke,hub,1433.6,79,11850,11275,0.952,199.06,2244401.5,1146554.01,6.75
ORD,BOI,4,Chicago O'Hare,Boise,hub,spoke,1433.6,70,13230,11750,0.888,217.48,2555390.0,1118293.04,5.9
BOI,ORD,4,Boise,Chicago O'Hare,spoke,hub,1433.6,70,10500,8198,0.781,151.41,1241259.18,917902.27,6.1
ORD,TUL,1,Chicago O'Hare,Tulsa,hub,spoke,585.2,77,5852,3938,0.673,85.67,337368.46,445262.6,13.0
TUL,ORD,1,Tulsa,Chicago O'Hare,spoke,hub,585.2,77,14553,9464,0.65,91.27,863779.28,637300.68,7.48
ORD,TUL,2,Chicago O'Hare,Tulsa,hub,spoke,585.2,85,12750,11094,0.87,81.69,906268.86,607540.2,8.14
TUL,ORD,2,Tulsa,Chicago O'Hare,spoke,hub,585.2,64,4864,4590,0.944,96.02,440731.8,318853.78,11.2
ORD,TUL,3,Chicago O'Hare,Tulsa,hub,spoke,585.2,60,9600,9312,0.97,100.6,936787.2,444516.41,7.91
TUL,ORD,3,Tulsa,Chicago O'Hare,spoke,hub,585.2,95,17955,17416,0.97,106.65,1857416.4,822835.52,7.83
ORD,TUL,4,Chicago O'Hare,Tulsa,hub,spoke,585.2,65,9750,7795,0.8,76.45,595927.75,502154.76,8.8
TUL,ORD,4,Tulsa,Chicago O'Hare,spoke,hub,585.2,84,13440,10577,0.787,96.96,1025545.92,596467.3,7.58
ORD,GEG,1,Chicago O'Hare,Spokane,hub,spoke,1493.9,98,15680,9405,0.6,139.48,1311809.4,1294359.18,5.53
GEG,ORD,1,Spokane,Chicago O'Hare,spoke,hub,1493.9,91,17199,12169,0.708,216.46,2634101.74,1417612.83,5.52
ORD,GEG,2,Chicago O'Hare,Spokane,hub,spoke,1493.9,92,14720,13401,0.91,197.01,2640131.01,1203989.73,5.48
GEG,ORD,2,Spokane,Chicago O'Hare,spoke,hub,1493.9,98,15680,13985,0.892,145.79,2038873.15,1353429.43,5.78
ORD,GEG,3,Chicago O'Hare,Spokane,hub,spoke,1493.9,93,17577,17049,0.97,150.85,2571841.65,1371076.19,5.22
GEG,ORD,3,Spokane,Chicago O'Hare,spoke,hub,1493.9,95,14250,13822,0.97,209.63,2897505.86,1323539.47,6.22
ORD,GEG,4,Chicago O'Hare,Spokane,hub,spoke,1493.9,96,15360,14543,0.947,185.6,2699180.8,1429564.82,6.23
GEG,ORD,4,Spokane,Chicago O'Hare,spoke,hub,1493.9,61,11529,9700,0.841,189.27,1835919.0,908832.41,5.28
ORD,FAR,1,Chicago O'Hare,Fargo,hub,spoke,556.3,82,12300,9162,0.745,80.78,740106.36,530605.32,7.76
FAR,ORD,1,Fargo,Chicago O'Hare,spoke,hub,556.3,67,10050,7098,0.706,95.98,681266.04,493841.5,8.83
ORD,FAR,2,Chicago O'Hare,Fargo,hub,spoke,556.3,84,15876,13164,0.829,83.58,1100247.12,760321.96,8.61
FAR,ORD,2,Fargo,Chicago O'Hare,spoke,hub,556.3,89,14240,13252,0.931,77.04,1020934.08,625267.26,7.89
ORD,FAR,3,Chicago O'Hare,Fargo,hub,spoke,556.3,98,15680,14899,0.95,96.85,1442968.15,627457.14,7.19
FAR,ORD,3,Fargo,Chicago O'Hare,spoke,hub,556.3,89,14240,12710,0.893,103.06,1309892.6,677683.16,8.56
ORD,FAR,4,Chicago O'Hare,Fargo,hub,spoke,556.3,78,11700,9187,0.785,87.52,804046.24,474655.78,7.29
FAR,ORD,4,Fargo,Chicago O'Hare,spoke,hub,556.3,79,6004,5480,0.913,95.66,524216.8,433362.6,12.98
ORD,BIL,1,Chicago O'Hare,Billings,hub,spoke,1057.9,84,6384,4447,0.697,114.81,510560.07,688238.09,10.19
BIL,ORD,1,Billings,Chicago O'Hare,spoke,hub,1057.9,85,13600,10374,0.763,166.36,1725818.64,1042215.96,7.24
ORD,BIL,2,Chicago O'Hare,Billings,hub,spoke,1057.9,79,11850,9420,0.795,123.48,1163181.6,962423.45,7.68
BIL,ORD,2,Billings,Chicago O'Hare,spoke,hub,1057.9,85,13600,9803,0.721,157.56,1544560.68,996498.36,6.93
ORD,BIL,3,Chicago O'Hare,Billings,hub,spoke,1057.9,72,11520,9572,0.831,143.15,1370231.8,968275.33,7.95
BIL,ORD,3,Billings,Chicago O'Hare,spoke,hub,1057.9,85,13600,12665,0.931,156.27,1979159.55,1020470.0,7.09
ORD,BIL,4,Chicago O'Hare,Billings,hub,spoke,1057.9,86,16254,11898,0.732,145.09,1726280.82,1295935.92,7.54
BIL,ORD,4,Billings,Chicago O'Hare,spoke,hub,1057.9,77,11550,8445,0.731,145.99,1232885.55,1028191.88,8.41
DFW,LAX,1,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,74,5624,4174,0.742,199.87,834257.38,517742.51,7.47
LAX,DFW,1,Los Angeles,Dallas/Fort Worth,spoke,hub,1232.3,79,11850,7846,0.662,208.97,1639578.62,940186.32,6.44
DFW,LAX,2,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,77,5852,5443,0.93,136.59,743459.37,591444.88,8.2
LAX,DFW,2,Los Angeles,Dallas/Fort Worth,spoke,hub,1232.3,84,15876,12997,0.819,133.21,1731330.37,1422958.85,7.27
DFW,LAX,3,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,78,14742,14069,0.954,190.58,2681270.02,1201688.38,6.61
LAX,DFW,3,Los Angeles,Dallas/Fort Worth,spoke,hub,1232.3,61,11529,11178,0.97,145.69,1628522.82,841163.13,5.92
DFW,LAX,4,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,92,14720,10497,0.713,144.43,1516081.71,1236307.94,6.82
LAX,DFW,4,Los Angeles,Dallas/Fort Worth,spoke,hub,1232.3,96,15360,12273,0.799,158.43,1944411.39,1264372.42,6.68
DFW,JFK,1,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,75,5700,4496,0.789,186.49,838459.04,612434.17,7.74
JFK,DFW,1,New York JFK,Dallas/Fort Worth,spoke,hub,1388.7,82,13120,9440,0.72,200.21,1889982.4,1182683.24,6.49
DFW,JFK,2,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,98,15680,12179,0.777,167.01,2034014.79,1275412.39,5.86
JFK,DFW,2,New York JFK,Dallas/Fort Worth,spoke,hub,1388.7,91,17199,15253,0.887,191.11,2915000.83,1677824.7,7.03
DFW,JFK,3,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,72,10800,10476,0.97,165.62,1735035.12,1026513.71,6.84
JFK,DFW,3,New York JFK,Dallas/Fort Worth,spoke,hub,1388.7,81,12960,10803,0.834,169.61,1832296.83,1241472.88,6.9
DFW,JFK,4,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,71,11360,9991,0.88,163.83,1636825.53,981350.75,6.22
JFK,DFW,4,New York JFK,Dallas/Fort Worth,spoke,hub,1388.7,68,5168,3894,0.754,185.14,720935.16,600709.4,8.37
DFW,MIA,1,Dallas/Fort Worth,Miami,hub,spoke,1120.2,77,12320,11950,0.97,130.63,1561028.5,948863.48,6.88
MIA,DFW,1,Miami,Dallas/Fort Worth,spoke,hub,1120.2,72,10800,10018,0.928,163.88,1641749.84,647618.62,5.35
DFW,MIA,2,Dallas/Fort Worth,Miami,hub,spoke,1120.2,85,6460,5101,0.79,132.67,676749.67,531038.65,7.34
MIA,DFW,2,Miami,Dallas/Fort Worth,spoke,hub,1120.2,96,14400,10458,0.726,133.97,1401058.26,1292571.85,8.01
DFW,MIA,3,Dallas/Fort Worth,Miami,hub,spoke,1120.2,82,15498,10917,0.704,168.15,1835693.55,1035790.16,5.97
MIA,DFW,3,Miami,Dallas/Fort Worth,spoke,hub,1120.2,96,18144,17599,0.97,144.95,2550975.05,1451170.27,7.14
DFW,MIA,4,Dallas/Fort Worth,Miami,hub,spoke,1120.2,62,9300,8171,0.879,164.49,1344047.79,709797.68,6.81
MIA,DFW,4,Miami,Dallas/Fort Worth,spoke,hub,1120.2,65,4940,3248,0.658,140.5,456344.0,463058.16,8.37
DFW,PHX,1,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,72,11520,10681,0.927,117.38,1253735.78,785862.45,7.88
PHX,DFW,1,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,79,6004,5823,0.97,136.36,794024.28,592108.37,11.39
DFW,PHX,2,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,86,16254,13499,0.831,113.1,1526736.9,1104098.11,7.85
PHX,DFW,2,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,74,11100,10170,0.916,105.6,1073952.0,700761.42,7.29
DFW,PHX,3,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,77,14553,13221,0.909,133.27,1761962.67,1043554.29,8.28
PHX,DFW,3,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,91,14560,12451,0.855,106.21,1322420.71,887822.36,7.04
DFW,PHX,4,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,84,13440,10813,0.805,168.14,1818097.82,723042.07,6.21
PHX,DFW,4,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,85,16065,13784,0.858,134.68,1856429.12,926637.66,6.66
DFW,IAH,1,Dallas/Fort Worth,Houston,hub,spoke,225.3,93,14880,9802,0.659,62.37894018064879,611438.37,348581.21,10.4
IAH,DFW,1,Houston,Dallas/Fort Worth,spoke,hub,225.3,93,7068,4689,0.663,62.37894018064879,292494.85,229979.87,14.44
DFW,IAH,2,Dallas/Fort Worth,Houston,hub,spoke,225.3,77,14553,11133,0.765,62.37894018064879,694464.74,375970.81,11.47
IAH,DFW,2,Houston,Dallas/Fort Worth,spoke,hub,225.3,86,12900,8745,0.678,62.37894018064879,545503.83,388697.05,13.38
DFW,IAH,3,Dallas/Fort Worth,Houston,hub,spoke,225.3,86,13760,12892,0.937,62.37894018064879,804189.3,319036.57,10.29
IAH,DFW,3,Houston,Dallas/Fort Worth,spoke,hub,225.3,95,7220,6529,0.904,62.37894018064879,407272.1,245711.6,15.11
DFW,IAH,4,Dallas/Fort Worth,Houston,hub,spoke,225.3,82,12300,11068,0.9,62.37894018064879,690410.11,314839.94,11.36
IAH,DFW,4,Houston,Dallas/Fort Worth,spoke,hub,225.3,105,15750,13855,0.88,62.37894018064879,864260.22,353674.78,9.97
