customer_id,age,age_segment,annual_income,income_segment,credit_score,credit_score_segment,employment_years,account_tenure,loan_amount,interest_rate,credit_utilization,utilization_segment,late_payments,missed_payments_6m,payment_history_score,payment_history_segment,transaction_count,avg_monthly_spend,monthly_debt_payment,dti,dti_segment,default,default_probability,risk_score,ml_risk_tier
C00022,75,66-75,79777,Middle Income,568,Poor,23,20,15200,11.51,78.58,High Utilization,9,3,25,Weak,90,5055.1,2121.4,31.91,Moderate DTI,1,0.820288356,82.03,High Risk
C00023,27,26-35,119145,Upper-Middle Income,590,Fair,21,3,122500,11.93,55.47,Moderate Utilization,9,1,45,Weak,110,6357.56,5820.23,58.62,High DTI,1,0.849173336,84.92,High Risk
C00024,43,36-50,69808,Middle Income,669,Fair,21,3,66800,11.38,76.5,High Utilization,8,0,60,Moderate,77,1688.93,961.61,16.53,Low DTI,1,0.505256355,50.53,Medium Risk
C00025,22,18-25,89467,Upper-Middle Income,702,Good,39,6,113600,6.84,33.08,Moderate Utilization,2,0,90,Strong,6,3884.07,1635.75,21.94,Moderate DTI,1,0.186875911,18.69,Low Risk
C00026,57,51-65,90733,Upper-Middle Income,618,Fair,18,17,72400,13.51,69.48,Moderate Utilization,9,3,25,Weak,101,5704.55,1734.51,22.94,Moderate DTI,0,0.691135959,69.11,High Risk
C00027,30,26-35,69601,Middle Income,659,Fair,36,16,87300,8.53,28.46,Low Utilization,9,0,55,Weak,145,2613.69,2331.63,40.2,High DTI,0,0.470883661,47.09,Medium Risk
C00028,65,51-65,55888,Middle Income,571,Poor,40,18,32900,12.61,83.76,High Utilization,5,0,75,Moderate,83,4573.9,1761.4,37.82,Moderate DTI,1,0.725143262,72.51,High Risk
C00029,36,36-50,120236,High Income,684,Good,15,1,165100,4,69.43,Moderate Utilization,6,1,60,Moderate,16,7325.45,684.34,6.83,Low DTI,0,0.36284419,36.28,Medium Risk
C00030,53,51-65,45526,Low Income,748,Very Good,11,2,40500,10.98,31.84,Moderate Utilization,4,1,70,Moderate,139,1247.28,267.09,7.04,Low DTI,0,0.15577792,15.58,Low Risk
C00031,55,51-65,31373,Low Income,712,Good,5,3,30800,11.81,45.1,Moderate Utilization,2,2,70,Moderate,143,4900.18,460.4,17.61,Low DTI,0,0.309589224,30.96,Medium Risk
C00032,29,26-35,141001,High Income,613,Fair,2,14,109700,10.79,59.74,Moderate Utilization,9,2,35,Weak,147,5179.57,5665.89,48.22,High DTI,1,0.810992074,81.1,High Risk
C00033,40,36-50,109418,Upper-Middle Income,560,Poor,17,7,124300,14.81,58.78,Moderate Utilization,9,3,25,Weak,48,7062.99,4162.44,45.65,High DTI,1,0.843333426,84.33,High Risk
C00034,67,66-75,52139,Middle Income,594,Fair,35,5,19100,11.15,47.66,Moderate Utilization,10,1,40,Weak,102,2415.73,2281.52,52.51,High DTI,1,0.804333386,80.43,High Risk
C00035,46,36-50,38832,Low Income,710,Good,33,17,25300,14.76,53.33,Moderate Utilization,5,3,45,Weak,35,4411.31,318.42,9.84,Low DTI,1,0.323942322,32.39,Medium Risk
C00036,41,36-50,138463,High Income,755,Very Good,10,12,194300,8.99,23.16,Low Utilization,3,1,75,Moderate,71,4367.54,3520.42,30.51,Moderate DTI,0,0.230728174,23.07,Low Risk
C00037,29,26-35,126088,High Income,671,Good,21,11,185300,13.93,25.18,Low Utilization,4,2,60,Moderate,17,5190.47,2651,25.23,Moderate DTI,0,0.282037089,28.2,Low Risk
C00038,51,51-65,47296,Low Income,676,Good,4,12,26100,8.02,48.23,Moderate Utilization,1,1,85,Strong,75,6680.99,1363.31,34.59,Moderate DTI,0,0.433225741,43.32,Medium Risk
C00039,19,18-25,59694,Middle Income,706,Good,3,13,67500,6.13,58.11,Moderate Utilization,7,1,55,Weak,16,9053.03,731.25,14.7,Low DTI,0,0.384443713,38.44,Medium Risk
C00040,64,51-65,62868,Middle Income,688,Good,4,8,79500,10.01,80.68,High Utilization,5,0,75,Moderate,115,3539.77,2696.51,51.47,High DTI,0,0.787497513,78.75,High Risk
C00041,35,26-35,81633,Upper-Middle Income,736,Good,32,14,16700,8.48,57.18,Moderate Utilization,1,0,95,Strong,88,9499.92,2087.76,30.69,Moderate DTI,0,0.340271407,34.03,Medium Risk
C00042,48,36-50,79838,Middle Income,664,Fair,7,13,85900,6.75,23.05,Low Utilization,7,1,55,Weak,47,5044.15,2036.53,30.61,Moderate DTI,0,0.372252882,37.23,Medium Risk
C00043,30,26-35,66129,Middle Income,786,Very Good,2,20,63400,9.18,16.9,Low Utilization,0,0,100,Strong,111,7763.8,387.41,7.03,Low DTI,0,0.05976927,5.98,Low Risk
C00044,74,66-75,139464,High Income,709,Good,38,10,95100,9.54,73.37,High Utilization,5,3,45,Weak,37,8366.14,3307.62,28.46,Moderate DTI,1,0.630033947,63,High Risk
C00045,70,66-75,40555,Low Income,674,Good,25,8,50300,3.24,31,Moderate Utilization,1,1,85,Strong,145,8290.66,1690.81,50.03,High DTI,1,0.506218469,50.62,Medium Risk
C00046,64,51-65,119936,Upper-Middle Income,693,Good,15,9,74900,13.01,55.5,Moderate Utilization,4,2,60,Moderate,25,3168.32,1528.18,15.29,Low DTI,0,0.349960797,35,Medium Risk
C00047,28,26-35,107239,Upper-Middle Income,660,Fair,17,16,97800,12.22,66.39,Moderate Utilization,5,3,45,Weak,30,754.35,2629.14,29.42,Moderate DTI,1,0.602862085,60.29,High Risk
C00048,74,66-75,123982,High Income,710,Good,27,14,137200,10.14,60.68,Moderate Utilization,4,0,80,Strong,28,5241.16,1037.32,10.04,Low DTI,1,0.240920411,24.09,Low Risk
C00049,53,51-65,60199,Middle Income,579,Poor,21,10,37600,5.79,61.79,Moderate Utilization,8,2,40,Weak,75,6523.9,2836.88,56.55,High DTI,1,0.87516763,87.52,High Risk
C00050,70,66-75,89160,Upper-Middle Income,670,Good,28,12,83000,12.24,79.47,High Utilization,2,2,70,Moderate,39,787.03,2801.11,37.7,Moderate DTI,1,0.663429726,66.34,High Risk
C00051,70,66-75,76607,Middle Income,628,Fair,14,16,77200,14.06,29.51,Low Utilization,6,3,40,Weak,96,9173.97,2575.91,40.35,High DTI,1,0.601190963,60.12,High Risk
C00052,32,26-35,63810,Middle Income,592,Fair,35,14,82500,7.04,39.09,Moderate Utilization,8,0,60,Moderate,127,1600.62,2156.78,40.56,High DTI,1,0.560511897,56.05,Medium Risk
C00053,22,18-25,49734,Low Income,599,Fair,40,10,36100,4.48,85.73,High Utilization,9,3,25,Weak,55,7677.64,1651.58,39.85,Moderate DTI,1,0.872760023,87.28,High Risk
C00054,65,51-65,48006,Low Income,616,Fair,9,17,39900,3.76,57.05,Moderate Utilization,8,3,30,Weak,87,763.66,1040.93,26.02,Moderate DTI,1,0.645919608,64.59,High Risk
C00055,49,36-50,89577,Upper-Middle Income,709,Good,29,9,19300,9.39,25.54,Low Utilization,4,0,80,Strong,35,6815.71,1563.87,20.95,Moderate DTI,0,0.194230676,19.42,Low Risk
C00056,73,66-75,90330,Upper-Middle Income,755,Very Good,36,20,66700,3.12,39.05,Moderate Utilization,7,2,45,Weak,76,7705.53,2304.92,30.62,Moderate DTI,0,0.427555037,42.76,Medium Risk
C00057,63,51-65,142499,High Income,665,Fair,11,2,168800,4.37,55.93,Moderate Utilization,3,0,85,Strong,80,4054.04,3764.35,31.7,Moderate DTI,1,0.444116685,44.41,Medium Risk
C00058,57,51-65,111015,Upper-Middle Income,704,Good,3,4,139900,5.9,43.12,Moderate Utilization,5,1,65,Moderate,66,5794.85,1662.45,17.97,Low DTI,0,0.310694372,31.07,Medium Risk
C00059,67,66-75,80929,Upper-Middle Income,549,Poor,30,2,32600,9.39,85.01,High Utilization,9,0,55,Weak,115,5054.73,3780.06,56.05,High DTI,1,0.910117391,91.01,High Risk
C00060,52,51-65,59565,Middle Income,621,Fair,6,11,34200,12.41,67.38,Moderate Utilization,9,2,35,Weak,112,6697.84,1063.73,21.43,Moderate DTI,1,0.654418983,65.44,High Risk
C00061,48,36-50,67126,Middle Income,757,Very Good,25,20,9000,5.01,52.4,Moderate Utilization,7,3,35,Weak,110,1085.31,397.72,7.11,Low DTI,0,0.301682246,30.17,Medium Risk
C00062,48,36-50,84874,Upper-Middle Income,675,Good,27,15,107700,3.55,34.92,Moderate Utilization,8,3,30,Weak,9,6510.83,2206.02,31.19,Moderate DTI,0,0.525068657,52.51,Medium Risk
C00063,73,66-75,62706,Middle Income,567,Poor,23,18,36200,4.72,82.67,High Utilization,9,2,35,Weak,57,3876.6,2286.68,43.76,High DTI,0,0.874637734,87.46,High Risk
C00064,20,18-25,92333,Upper-Middle Income,668,Fair,22,10,21900,10,64.78,Moderate Utilization,1,1,85,Strong,50,5439.16,3791.81,49.28,High DTI,1,0.644709636,64.47,High Risk
C00065,74,66-75,133513,High Income,708,Good,0,19,167100,9.76,20.88,Low Utilization,5,1,65,Moderate,115,7316.41,1297.3,11.66,Low DTI,1,0.160282174,16.03,Low Risk
C00066,64,51-65,147128,High Income,634,Fair,15,14,92700,13.36,67.2,Moderate Utilization,9,1,45,Weak,26,5673.39,1884.46,15.37,Low DTI,0,0.510324398,51.03,Medium Risk
C00067,49,36-50,78879,Middle Income,705,Good,12,10,94800,10.88,21.6,Low Utilization,9,3,25,Weak,114,6415.82,932.74,14.19,Low DTI,0,0.311782224,31.18,Medium Risk
C00068,51,51-65,54543,Middle Income,837,Excellent,38,1,60100,11.24,37.09,Moderate Utilization,0,0,100,Strong,6,3300.66,406.8,8.95,Low DTI,0,0.087996331,8.8,Low Risk
C00069,29,26-35,67775,Middle Income,547,Poor,31,4,8900,4.41,77.8,High Utilization,10,0,50,Weak,35,9383.13,1851.95,32.79,Moderate DTI,1,0.779985151,78,High Risk
C00070,65,51-65,30196,Low Income,663,Fair,5,5,29700,11.67,52.8,Moderate Utilization,1,1,85,Strong,95,3273.25,1291.13,51.31,High DTI,1,0.646513388,64.65,High Risk
C00071,22,18-25,95440,Upper-Middle Income,642,Fair,36,5,59100,8.59,51.94,Moderate Utilization,3,0,85,Strong,109,7001.92,4287.64,53.91,High DTI,0,0.645210819,64.52,High Risk
C00072,36,36-50,31863,Low Income,662,Fair,28,4,35200,9.34,67.53,Moderate Utilization,3,0,85,Strong,132,6428.24,398.55,15.01,Low DTI,0,0.354134132,35.41,Medium Risk
C00073,58,51-65,139968,High Income,536,Poor,24,11,164600,9.41,72.92,High Utilization,10,2,30,Weak,45,3155.12,5127.49,43.96,High DTI,0,0.861261422,86.13,High Risk
C00074,28,26-35,45600,Low Income,673,Good,39,13,14700,13.69,48.69,Moderate Utilization,6,1,60,Moderate,9,7572.54,1306.06,34.37,Moderate DTI,0,0.50824153,50.82,Medium Risk
C00075,28,26-35,109679,Upper-Middle Income,677,Good,21,4,20000,7.01,43.63,Moderate Utilization,9,0,55,Weak,113,3223.19,2210.03,24.18,Moderate DTI,1,0.411131697,41.11,Medium Risk
C00076,46,36-50,116888,Upper-Middle Income,656,Fair,16,7,148000,4.08,62.15,Moderate Utilization,3,0,85,Strong,89,8148.97,1764.03,18.11,Low DTI,0,0.348391174,34.84,Medium Risk
C00077,36,36-50,82980,Upper-Middle Income,728,Good,28,13,73000,6.37,62.47,Moderate Utilization,0,0,100,Strong,113,6536.04,2711.37,39.21,Moderate DTI,0,0.4313134,43.13,Medium Risk
C00078,39,36-50,101815,Upper-Middle Income,660,Fair,3,12,83400,12.34,57.93,Moderate Utilization,8,3,30,Weak,114,3001.54,3062.93,36.1,Moderate DTI,0,0.711431531,71.14,High Risk
C00079,62,51-65,80647,Upper-Middle Income,629,Fair,8,17,43000,14.27,57.07,Moderate Utilization,0,0,100,Strong,83,2288.12,3073.32,45.73,High DTI,1,0.534587225,53.46,Medium Risk
C00080,51,51-65,123496,High Income,654,Fair,22,3,61900,9.86,65.79,Moderate Utilization,7,3,35,Weak,13,916.09,2538.87,24.67,Moderate DTI,0,0.627801572,62.78,High Risk
C00081,31,26-35,98054,Upper-Middle Income,646,Fair,0,3,36600,13.62,34.18,Moderate Utilization,8,0,60,Moderate,90,1010,4563.6,55.85,High DTI,0,0.681070434,68.11,High Risk
C00082,31,26-35,126703,High Income,752,Very Good,17,9,169700,13.05,31.1,Moderate Utilization,1,1,85,Strong,148,6418.5,1817.13,17.21,Low DTI,0,0.154125887,15.41,Low Risk
C00083,47,36-50,83432,Upper-Middle Income,685,Good,16,15,120300,5.95,44.25,Moderate Utilization,6,3,40,Weak,97,2299.31,2379.2,34.22,Moderate DTI,1,0.556982819,55.7,Medium Risk
C00084,31,26-35,66786,Middle Income,718,Good,17,0,71000,13.12,67.15,Moderate Utilization,0,0,100,Strong,54,1040.97,1167.64,20.98,Moderate DTI,0,0.301457486,30.15,Medium Risk
C00085,34,26-35,141354,High Income,685,Good,33,0,39700,13.56,71.4,High Utilization,3,2,65,Moderate,73,2915.19,4328.97,36.75,Moderate DTI,0,0.629892276,62.99,High Risk
C00086,53,51-65,73226,Middle Income,745,Very Good,16,15,68100,3.76,50.94,Moderate Utilization,9,3,25,Weak,144,2575.13,1239.35,20.31,Moderate DTI,1,0.489588235,48.96,Medium Risk
C00087,23,18-25,125035,High Income,665,Fair,19,14,155900,11.82,73.96,High Utilization,3,0,85,Strong,14,2158.62,1989.1,19.09,Low DTI,0,0.367267317,36.73,Medium Risk
C00088,28,26-35,109583,Upper-Middle Income,651,Fair,22,14,112200,10.43,42.83,Moderate Utilization,9,3,25,Weak,78,7448.69,1957.88,21.44,Moderate DTI,0,0.504288059,50.43,Medium Risk
C00089,62,51-65,80732,Upper-Middle Income,701,Good,29,14,41200,14.58,62.64,Moderate Utilization,1,0,95,Strong,21,1317.85,2218.11,32.97,Moderate DTI,1,0.39600707,39.6,Medium Risk
C00090,67,66-75,53907,Middle Income,695,Good,18,17,16200,7.95,29.42,Low Utilization,3,3,55,Weak,76,911.77,1574.53,35.05,Moderate DTI,0,0.41784978,41.78,Medium Risk
C00091,45,36-50,72803,Middle Income,707,Good,13,15,24700,9.71,29.29,Low Utilization,7,2,45,Weak,93,8705.78,917.92,15.13,Low DTI,0,0.281953761,28.2,Low Risk
C00092,47,36-50,30438,Low Income,719,Good,21,1,41300,10.9,37.86,Moderate Utilization,9,3,25,Weak,103,2909.43,530.89,20.93,Moderate DTI,1,0.466669302,46.67,Medium Risk
C00093,19,18-25,139662,High Income,672,Good,26,19,69100,12.91,32.1,Moderate Utilization,8,0,60,Moderate,48,3016.18,5939.13,51.03,High DTI,0,0.550804415,55.08,Medium Risk
C00094,70,66-75,106949,Upper-Middle Income,703,Good,7,2,64200,12.18,48.11,Moderate Utilization,2,2,70,Moderate,120,8089.03,3835.01,43.03,High DTI,1,0.580991665,58.1,Medium Risk
C00095,53,51-65,65977,Middle Income,738,Good,26,13,97000,4.29,66.01,Moderate Utilization,7,1,55,Weak,21,6290.8,731.25,13.3,Low DTI,1,0.381295437,38.13,Medium Risk
C00096,49,36-50,64108,Middle Income,776,Very Good,27,5,53300,3.85,26.62,Low Utilization,0,0,100,Strong,40,9941.13,1345.2,25.18,Moderate DTI,0,0.159387697,15.94,Low Risk
C00097,37,36-50,144599,High Income,664,Fair,10,2,195500,11.18,46.74,Moderate Utilization,7,2,45,Weak,125,8673.06,1606.25,13.33,Low DTI,1,0.380190752,38.02,Medium Risk
C00098,72,66-75,92649,Upper-Middle Income,557,Poor,10,7,32600,9.92,86.48,High Utilization,6,2,50,Weak,72,2635.06,3895.12,50.45,High DTI,1,0.895425717,89.54,High Risk
C00099,37,36-50,46818,Low Income,662,Fair,5,3,33700,10.23,54.58,Moderate Utilization,3,0,85,Strong,83,3320.05,1910.56,48.97,High DTI,1,0.626602439,62.66,High Risk
C00100,41,36-50,112934,Upper-Middle Income,766,Very Good,6,14,109700,10.93,34.87,Moderate Utilization,0,0,100,Strong,94,1513.23,1276.15,13.56,Low DTI,0,0.10958094,10.96,Low Risk
C00101,19,18-25,124435,High Income,721,Good,10,15,33700,8.65,14.65,Low Utilization,9,2,35,Weak,118,8212.66,1157.25,11.16,Low DTI,0,0.204149398,20.41,Low Risk
C00102,47,36-50,61053,Middle Income,726,Good,27,18,48400,10.92,30.8,Moderate Utilization,4,3,50,Weak,144,5286.88,550.49,10.82,Low DTI,0,0.212794237,21.28,Low Risk
C00103,74,66-75,54327,Middle Income,842,Excellent,28,11,68200,14.04,41.85,Moderate Utilization,2,1,80,Strong,70,6704.19,517.01,11.42,Low DTI,0,0.145804813,14.58,Low Risk
C00104,74,66-75,128115,High Income,776,Very Good,9,3,148000,13.99,50.2,Moderate Utilization,9,1,45,Weak,97,7350.28,596.8,5.59,Low DTI,0,0.274747155,27.47,Low Risk
C00105,68,66-75,46008,Low Income,578,Poor,7,9,9000,6.09,77.13,High Utilization,8,0,60,Moderate,104,3501.29,1955.34,51,High DTI,0,0.856873335,85.69,High Risk
C00106,59,51-65,134544,High Income,676,Good,16,5,33300,5.17,70.7,High Utilization,10,3,20,Weak,76,2662.72,1198.56,10.69,Low DTI,1,0.578458196,57.85,Medium Risk
C00107,28,26-35,82699,Upper-Middle Income,722,Good,0,14,90900,3.29,42.84,Moderate Utilization,3,2,65,Moderate,79,2968.5,2196.35,31.87,Moderate DTI,1,0.402768351,40.28,Medium Risk
C00108,40,36-50,57881,Middle Income,610,Fair,34,3,60000,14.24,83.47,High Utilization,4,1,70,Moderate,103,8926.03,2323.92,48.18,High DTI,1,0.818474858,81.85,High Risk
C00109,68,66-75,89857,Upper-Middle Income,733,Good,30,6,76800,9.44,43.69,Moderate Utilization,6,3,40,Weak,126,8116.09,513.68,6.86,Low DTI,0,0.288807259,28.88,Low Risk
C00110,70,66-75,115939,Upper-Middle Income,549,Poor,19,10,69600,11.06,68.65,Moderate Utilization,6,3,40,Weak,10,3839.75,4339.02,44.91,High DTI,1,0.835772027,83.58,High Risk
C00111,35,26-35,94125,Upper-Middle Income,625,Fair,35,0,90900,10.18,66.99,Moderate Utilization,7,3,35,Weak,77,1924.94,3696.76,47.13,High DTI,1,0.825571561,82.56,High Risk
C00112,19,18-25,71031,Middle Income,713,Good,35,16,39900,14.09,19.4,Low Utilization,9,2,35,Weak,118,9682.23,864.8,14.61,Low DTI,0,0.245985871,24.6,Low Risk
C00113,53,51-65,127806,High Income,641,Fair,23,4,148900,13.76,55.63,Moderate Utilization,5,2,55,Weak,28,7316.03,5229.4,49.1,High DTI,0,0.735828513,73.58,High Risk
C00114,39,36-50,77728,Middle Income,698,Good,16,13,94600,9.31,48.05,Moderate Utilization,1,1,85,Strong,9,1849.62,2750.28,42.46,High DTI,1,0.456295653,45.63,Medium Risk
C00115,75,66-75,35235,Low Income,697,Good,27,14,24100,10.85,61.95,Moderate Utilization,3,3,55,Weak,80,5496.76,283.35,9.65,Low DTI,0,0.360141716,36.01,Medium Risk
C00116,70,66-75,42260,Low Income,643,Fair,37,18,30800,12.49,79.15,High Utilization,6,3,40,Weak,36,9740.17,1431.21,40.64,High DTI,1,0.811346335,81.13,High Risk
C00117,59,51-65,60157,Middle Income,625,Fair,20,7,77400,9.97,77.7,High Utilization,1,0,95,Strong,61,4452.22,2467.94,49.23,High DTI,0,0.715641597,71.56,High Risk
C00118,68,66-75,138773,High Income,626,Fair,40,20,52300,8.85,62.2,Moderate Utilization,4,2,60,Moderate,74,1141.52,6616,57.21,High DTI,1,0.781021666,78.1,High Risk
C00119,29,26-35,103592,Upper-Middle Income,687,Good,1,16,120300,7.78,23.26,Low Utilization,9,0,55,Weak,105,5634.62,856.36,9.92,Low DTI,0,0.1874194,18.74,Low Risk
C00120,57,51-65,95188,Upper-Middle Income,753,Very Good,1,3,17700,11.15,51.89,Moderate Utilization,1,0,95,Strong,82,3913.33,1604.71,20.23,Moderate DTI,0,0.244224413,24.42,Low Risk
C00121,37,36-50,88971,Upper-Middle Income,668,Fair,2,0,22500,4.66,68.4,Moderate Utilization,8,2,40,Weak,59,2137.57,2523.07,34.03,Moderate DTI,1,0.725551034,72.56,High Risk
C00122,29,26-35,66900,Middle Income,681,Good,13,20,19300,7.52,36.03,Moderate Utilization,9,1,45,Weak,12,5473.69,547.46,9.82,Low DTI,0,0.262543556,26.25,Low Risk
C00123,53,51-65,82716,Upper-Middle Income,792,Very Good,37,20,76800,3.42,49.17,Moderate Utilization,2,0,90,Strong,32,7539.48,567.98,8.24,Low DTI,0,0.129841737,12.98,Low Risk
C00124,46,36-50,97706,Upper-Middle Income,521,Poor,35,18,16800,12.51,91.66,High Utilization,9,3,25,Weak,71,8147.42,4526.23,55.59,High DTI,1,0.946197462,94.62,High Risk
C00125,66,66-75,148217,High Income,557,Poor,38,20,182300,11.14,82.98,High Utilization,2,2,70,Moderate,147,5004.3,5958.32,48.24,High DTI,1,0.802409107,80.24,High Risk
C00126,51,51-65,54907,Middle Income,755,Very Good,20,20,31300,5.94,37.98,Moderate Utilization,7,0,65,Moderate,69,4643.73,346.83,7.58,Low DTI,0,0.168416669,16.84,Low Risk
C00127,24,18-25,56465,Middle Income,747,Very Good,22,3,9200,6.79,29.19,Low Utilization,7,0,65,Moderate,47,2219.12,451.72,9.6,Low DTI,0,0.16345054,16.35,Low Risk
C00128,39,36-50,130268,High Income,709,Good,31,9,42100,8.83,69.34,Moderate Utilization,7,0,65,Moderate,26,3313.22,804.4,7.41,Low DTI,1,0.305747711,30.57,Medium Risk
C00129,50,36-50,127892,High Income,791,Very Good,25,14,70200,4.42,22.2,Low Utilization,4,3,50,Weak,30,6227.47,562.72,5.28,Low DTI,0,0.12771621,12.77,Low Risk
C00130,36,36-50,69483,Middle Income,609,Fair,2,1,25000,12.19,47.92,Moderate Utilization,9,3,25,Weak,121,6591.84,1882.99,32.52,Moderate DTI,0,0.714377148,71.44,High Risk
C00131,72,66-75,86487,Upper-Middle Income,640,Fair,27,7,24900,9.99,64.41,Moderate Utilization,4,0,80,Strong,111,8374.64,3888.31,53.95,High DTI,1,0.748089669,74.81,High Risk
C00132,61,51-65,79651,Middle Income,523,Poor,3,10,53800,14.73,81.02,High Utilization,5,0,75,Moderate,137,4635.15,3348.66,50.45,High DTI,1,0.845626456,84.56,High Risk
C00133,46,36-50,135046,High Income,696,Good,8,5,123900,8.93,41.31,Moderate Utilization,7,1,55,Weak,92,892.47,3333.39,29.62,Moderate DTI,1,0.433641384,43.36,Medium Risk
C00134,35,26-35,142101,High Income,666,Fair,17,14,177100,13.17,25.45,Low Utilization,7,2,45,Weak,98,4570.06,4452.5,37.6,Moderate DTI,1,0.464232333,46.42,Medium Risk
C00135,66,66-75,99254,Upper-Middle Income,723,Good,20,2,58700,9.17,67.89,Moderate Utilization,3,1,75,Moderate,123,793.96,1851.09,22.38,Moderate DTI,1,0.420844096,42.08,Medium Risk
C00136,30,26-35,142388,High Income,761,Very Good,1,20,111700,10.81,25.32,Low Utilization,6,0,70,Moderate,56,8932.67,689.4,5.81,Low DTI,0,0.110414534,11.04,Low Risk
C00137,69,66-75,132349,High Income,721,Good,8,12,177800,9.28,55.46,Moderate Utilization,4,1,70,Moderate,93,9710.77,2192.58,19.88,Low DTI,1,0.351723664,35.17,Medium Risk
C00138,40,36-50,71173,Middle Income,612,Fair,33,11,31900,7.44,79.4,High Utilization,10,1,40,Weak,64,9091.3,2857.6,48.18,High DTI,1,0.867290234,86.73,High Risk
