origin,dest,route,origin_city,dest_city,origin_tier,dest_tier,distance_miles,departures,seats,passengers,revenue,op_cost,asm,rpm,load_factor,rasm_cents,yield_cents_per_mile,operating_profit,operating_margin_pct,seasonality_index
GEG,DFW,GEG-DFW,Spokane,Dallas/Fort Worth,spoke,hub,1475.2,340,48706,38387,8646474.15,5073717.46,71851091.2,56628502.4,0.7881369851763643,12.033880078358504,15.268767111171211,3572756.6900000004,41.32038826485129,0.8769635553703077
ATL,SFO,ATL-SFO,Atlanta,San Francisco,hub,spoke,2134.4,314,51898,39492,9868513.94,6307388.8100000005,110771091.2,84291724.80000001,0.7609541793518054,8.908925454369813,11.707571488678328,3561125.129999999,36.08572832395471,0.3249265674060569
ATL,PHX,ATL-PHX,Atlanta,Phoenix,hub,spoke,1583.7,357,56709,47531,9135985.6,5685703.51,89810043.3,75274844.7,0.8381562009557566,10.172565633313752,12.13683752707895,3450282.09,37.765844223747465,0.12564431634091436
DEN,MIA,DEN-MIA,Denver,Miami,hub,spoke,1708.0,391,59810,46196,9830550.22,6385556.93,102155480.0,78902768.0,0.7723792008025414,9.62312567079123,12.459068888432407,3444993.290000001,35.04374844646285,0.3460905706121742
ATL,SLC,ATL-SLC,Atlanta,Salt Lake City,hub,spoke,1586.7,358,49068,41477,8639829.41,5232625.37,77856195.6,65811555.9,0.8452963234694709,11.097163614811922,13.128134249140281,3407204.04,39.436010577435695,0.7961038647925356
TUL,SEA,TUL-SEA,Tulsa,Seattle-Tacoma,spoke,hub,1555.5,354,51567,42485,8237864.49,4878502.05,80212468.5,66085417.5,0.8238796129307503,10.270054823209936,12.465479982781376,3359362.4400000004,40.779530229927346,1.145627868659527
ORD,SFO,ORD-SFO,Chicago O'Hare,San Francisco,hub,spoke,1842.2,334,38364,32306,8215077.86,4872874.44,70674160.8,59514113.2,0.8420915441559795,11.623877478004664,13.803579383587286,3342203.42,40.683770463984374,0.8731504983594379
SFO,JFK,SFO-JFK,San Francisco,New York JFK,spoke,spoke,2580.0,262,39910,29675,9292488.22,6007420.12,102967800.0,76561500.0,0.7435479829616637,9.024654523064493,12.137285998837537,3285068.1000000006,35.35186725262268,0.4405054759898905
MIA,ORD,MIA-ORD,Miami,Chicago O'Hare,spoke,hub,1199.5,335,50146,40852,7486045.09,4210771.84,60150127.0,49001974.0,0.8146611893271647,12.445601469802382,15.277027594847507,3275273.25,43.75171683610578,1.0881229805150299
SFO,DFW,SFO-DFW,San Francisco,Dallas/Fort Worth,spoke,hub,1461.5,326,55218,44630,8301142.3100000005,5029390.32,80701107.0,65226745.0,0.808250932666884,10.286280595878319,12.726592918288352,3271751.99,39.413274315977844,0.29675106430652026
SLC,ATL,SLC-ATL,Salt Lake City,Atlanta,spoke,hub,1586.7,310,54066,41545,8209339.8,4969896.61,85786522.2,65919451.5,0.7684126807975438,9.569498319166039,12.453592396775328,3239443.1899999995,39.46045929296287,0.5649777349861596
ORD,BOI,ORD-BOI,Chicago O'Hare,Boise,hub,spoke,1433.6,328,48577,39885,7717569.279999999,4548724.86,69639987.19999999,57179136.0,0.8210675834242542,11.082094627380979,13.497177152169629,3168844.419999999,41.06013571153843,0.7649993731979441
BOI,ATL,BOI-ATL,Boise,Atlanta,spoke,hub,1834.4,318,42520,35104,7941735.24,4795087.96,77998688.0,64394777.6,0.8255879586077141,10.181883110649247,12.332887131517944,3146647.2800000003,39.62165930880365,1.0512762078395625
MIA,DEN,MIA-DEN,Miami,Denver,spoke,hub,1708.0,331,43864,35953,7868647.58,4800080.78,74919712.0,61407724.0,0.8196470910085719,10.502773395605152,12.813774990260182,3068566.8,38.99738511354196,0.4563735988651851
PHX,SEA,PHX-SEA,Phoenix,Seattle-Tacoma,spoke,hub,1107.6,348,60523,51238,7676143.48,4617382.35,67035274.8,56751208.8,0.8465872478231417,11.450901787009608,13.525955908801718,3058761.130000001,39.847628408321526,0.592919317693899
ORD,SLC,ORD-SLC,Chicago O'Hare,Salt Lake City,hub,spoke,1246.9,302,47510,39257,7067440.79,4231607.08,59240219.00000001,48949553.300000004,0.8262892022732057,11.93013953915329,14.438213044939063,2835833.71,40.125326752118426,0.2932470642178465
SEA,DEN,SEA-DEN,Seattle-Tacoma,Denver,hub,hub,1022.5,340,54003,46656,6528087.99,3694151.55,55218067.5,47705760.0,0.8639520026665185,11.822376779122159,13.684066641009387,2833936.4400000004,43.41143140749854,0.6491769547325102
MIA,JFK,MIA-JFK,Miami,New York JFK,spoke,spoke,1092.0,263,43820,39161,6384076.25,3566900.94,47851440.0,42763812.0,0.8936786855317207,13.341450643909566,14.928688420012698,2817175.31,44.12815887028292,0.1706800132785169
PDX,DEN,PDX-DEN,Portland,Denver,spoke,hub,989.7,363,55310,46739,6956853.9,4152564.3,54740307.0,46257588.3,0.8450370638220936,12.708832451378104,15.039378739077067,2804289.6000000006,40.30973828557763,0.37441964954320806
PDX,ORD,PDX-ORD,Portland,Chicago O'Hare,spoke,hub,1735.0,306,43443,32057,7508206.49,4713379.27,75373605.0,55618895.0,0.7379094445595378,9.96132066391146,13.499380902838865,2794827.2200000007,37.22363288386333,0.9387029353963253
PHX,ATL,PHX-ATL,Phoenix,Atlanta,spoke,hub,1583.7,333,54925,43655,8271177.1,5525215.41,86984722.5,69136423.5,0.7948111060537096,9.508769887723673,11.96355941090878,2745961.6899999995,33.1991644816794,0.17152674378650784
ATL,DEN,ATL-DEN,Atlanta,Denver,hub,hub,1196.8,316,51418,44459,7043047.449999999,4312605.09,61537062.4,53208531.199999996,0.8646582908709013,11.44521232459741,13.236688348954088,2730442.3599999994,38.76791089913784,0.6308733889651139
BOI,DEN,BOI-DEN,Boise,Denver,spoke,hub,647.6,329,54126,46352,5653787.66,2924535.04,35051997.6,30017555.200000003,0.8563721686435355,16.129715985145452,18.834937163703458,2729252.62,48.272994744906995,0.40843976527442183
SEA,PHX,SEA-PHX,Seattle-Tacoma,Phoenix,hub,spoke,1107.6,308,50715,41338,6769763.640000001,4045451.38,56171933.99999999,45785968.8,0.8151040126195406,12.051861415346679,14.785673029157353,2724312.2600000007,40.24235416289956,0.2692921766897286
DFW,PHX,DFW-PHX,Dallas/Fort Worth,Phoenix,hub,spoke,865.9,319,55767,48214,6360533.17,3656556.92,48288645.3,41748502.6,0.8645614790108845,13.171902277407646,15.235356417310161,2703976.25,42.511786004882985,0.233791015057867
FAR,SEA,FAR-SEA,Fargo,Seattle-Tacoma,spoke,hub,1192.2,352,54548,46250,7240822.9,4584969.640000001,65032125.6,55139250.0,0.8478770990687101,11.134224559315342,13.131885000249369,2655853.26,36.678887146929114,1.081772972972973
JFK,DFW,JFK-DFW,New York JFK,Dallas/Fort Worth,spoke,hub,1388.7,322,48447,39390,7358215.22,4702690.22,67278348.9,54700893.0,0.8130534398414763,10.936973543950925,13.451727780751222,2655525.0,36.08925426348157,1.1534907336887534
DFW,SEA,DFW-SEA,Dallas/Fort Worth,Seattle-Tacoma,hub,hub,1657.8,326,49814,42212,7824154.66,5171775.83,82581649.2,69979053.6,0.8473922993535954,9.474447090601334,11.180709451606532,2652378.83,33.89987730636194,0.951293471050886
ATL,GEG,ATL-GEG,Atlanta,Spokane,hub,spoke,1965.1,342,43409,37106,8294979.34,5694104.21,85303025.9,72917000.6,0.8547996959155936,9.724132587892171,11.375919568474407,2600875.13,31.354811427414596,1.0471621840133671
ATL,LAS,ATL-LAS,Atlanta,Las Vegas,hub,spoke,1742.6,350,54200,39166,7970049.640000001,5390974.82,94448920.0,68250671.6,0.722619926199262,8.438476204915842,11.67761349911757,2579074.8200000003,32.359582894643054,0.5342388806617985
ATL,IAH,ATL-IAH,Atlanta,Houston,hub,spoke,688.2,370,63500,54639,5730251.8,3188053.89,43700700.0,37602559.800000004,0.8604566929133858,13.112494307871497,15.238993915515293,2542197.9099999997,44.364506111232316,0.3551309504200296
DEN,STL,DEN-STL,Denver,St. Louis,hub,spoke,767.5,369,61536,46148,5999478.16,3493187.2199999997,47228880.0,35418590.0,0.749934997399896,12.702986308377417,16.93878316443427,2506290.9400000004,41.775148990624885,0.5690387449076884
ORD,MIA,ORD-MIA,Chicago O'Hare,Miami,hub,spoke,1199.5,367,51328,36853,6554498.96,4063341.49,61567936.0,44205173.5,0.717990180798005,10.645961820126631,14.827447651574085,2491157.4699999997,38.00683294333759,0.6508018343147098
ORD,SEA,ORD-SEA,Chicago O'Hare,Seattle-Tacoma,hub,hub,1716.3,328,49200,40820,7832309.7299999995,5346388.03,84441960.0,70059366.0,0.8296747967479675,9.27537651897232,11.179532698026414,2485921.6999999993,31.739318102783958,0.47172954434100933
LAX,DFW,LAX-DFW,Los Angeles,Dallas/Fort Worth,spoke,hub,1232.3,320,54615,44294,6943843.2,4468680.72,67302064.5,54583496.2,0.8110226128353016,10.31742971272449,12.72150683524739,2475162.4800000004,35.645425864455014,0.46516458211044387
SEA,MSP,SEA-MSP,Seattle-Tacoma,Minneapolis,hub,spoke,1395.0,318,48540,36670,6431267.34,3957459.21,67713300.0,51154650.0,0.7554594149155336,9.497790448848306,12.572204755579405,2473808.13,38.46532882584228,0.2575402236160349
SEA,FAR,SEA-FAR,Seattle-Tacoma,Fargo,hub,spoke,1192.2,341,47680,36251,6407803.199999999,3940322.9,56844096.0,43218442.2,0.7602978187919464,11.272592319877862,14.82654828313085,2467480.2999999993,38.50742950407715,0.47171112521033903
BOI,DFW,BOI-DFW,Boise,Dallas/Fort Worth,spoke,hub,1270.2,321,52848,42027,6994884.95,4553755.89,67127529.6,53382695.400000006,0.7952429609445958,10.420292526302056,13.103281686297166,2441129.0600000005,34.89877356739085,0.15180717158017465
ORD,IAH,ORD-IAH,Chicago O'Hare,Houston,hub,spoke,926.7,331,51180,40224,5822083.84,3385743.29,47428506.0,37275580.800000004,0.7859320046893318,12.27549491017069,15.619029174187943,2436340.55,41.84653840367918,0.6274860779634049
ORD,PHX,ORD-PHX,Chicago O'Hare,Phoenix,hub,spoke,1437.8,327,55984,45497,7814824.57,5382967.5600000005,80493795.2,65415586.599999994,0.812678622463561,9.70860493107921,11.946425884377838,2431857.01,31.118510572016582,0.2682374662065631
ATL,BIL,ATL-BIL,Atlanta,Billings,hub,spoke,1523.0,326,44186,37087,6892704.890000001,4470896.720000001,67295278.0,56483501.0,0.839338251935002,10.242479256865542,12.203041185425104,2421808.17,35.135816905690845,0.5324776875994284
LAX,DEN,LAX-DEN,Los Angeles,Denver,spoke,hub,861.0,319,48700,38447,5458030.29,3053435.09,41930700.0,33102867.0,0.7894661190965092,13.016787914344382,16.488089354919016,2404595.2,44.05609848676747,0.2662366374489557
IAH,ORD,IAH-ORD,Houston,Chicago O'Hare,spoke,hub,926.7,314,57171,45790,6132251.79,3728010.5300000003,52980365.7,42433593.0,0.8009305417082087,11.574574295548889,14.451408321703985,2404241.26,39.206499379569664,0.4454247652325835
ATL,OMA,ATL-OMA,Atlanta,Omaha,hub,spoke,820.3,392,66249,51627,6557812.399999999,4158900.81,54344054.7,42349628.099999994,0.7792872345242947,12.067212202331305,15.484935037717603,2398911.5899999994,36.5809731001149,0.417146066980456
BIL,ORD,BIL-ORD,Billings,Chicago O'Hare,spoke,hub,1057.9,332,52350,41287,6482424.42,4087376.2,55381065.00000001,43677517.300000004,0.7886723973256925,11.70512777246158,14.841558817263634,2395048.2199999997,36.94679744526817,0.40884539927822316
BOI,ORD,BOI-ORD,Boise,Chicago O'Hare,spoke,hub,1433.6,314,48750,39467,6918139.38,4556756.72,69888000.0,56579891.199999996,0.8095794871794871,9.898894488324176,12.22720516648855,2361382.66,34.13320446862694,0.3584767020548813
BIL,DFW,BIL-DFW,Billings,Dallas/Fort Worth,spoke,hub,1080.7,330,47835,39922,5924530.24,3567728.7800000003,51695284.5,43143705.4,0.8345771924323194,11.460484833969721,13.732084866312851,2356801.46,39.780393795407484,0.9515555332899154
DEN,GEG,DEN-GEG,Denver,Spokane,hub,spoke,834.5,313,50400,39858,5348594.61,2997560.24,42058800.0,33261501.0,0.7908333333333334,12.716945347941454,16.08043668865094,2351034.37,43.95611448294078,0.47328014451302125
DFW,JFK,DFW-JFK,Dallas/Fort Worth,New York JFK,hub,spoke,1388.7,316,43540,37142,6244334.48,3895711.0199999996,60463998.0,51579095.400000006,0.8530546623794212,10.327359563619993,12.106328022185513,2348623.460000001,37.612070069635365,0.8274190942867913
DFW,PDX,DFW-PDX,Dallas/Fort Worth,Portland,hub,spoke,1613.6,372,50496,39838,7772265.859999999,5443321.14,81480345.6,64282596.8,0.7889337769328264,9.53882289375071,12.090777670636976,2328944.7199999997,29.96481028763985,0.9518550128018475
SFO,ORD,SFO-ORD,San Francisco,Chicago O'Hare,spoke,hub,1842.2,388,51908,38954,8776068.7,6453308.95,95624917.6,71761058.8,0.7504430916236419,9.17759609133509,12.229569695256503,2322759.749999999,26.466973190399013,0.6576988242542486
SEA,STL,SEA-STL,Seattle-Tacoma,St. Louis,hub,spoke,1705.3,318,42160,30859,6991862.93,4677808.93,71895448.0,52623852.7,0.731949715370019,9.725042578495373,13.286490006460511,2314054.0,33.09638680230821,0.4414919472439159
DFW,MSP,DFW-MSP,Dallas/Fort Worth,Minneapolis,hub,spoke,852.6,314,47770,38858,5267284.73,2957107.88,40728702.0,33130330.800000004,0.8134393971111576,12.932611331438945,15.898678349447689,2310176.8500000006,43.85897038833517,0.19877502702146277
IAH,SEA,IAH-SEA,Houston,Seattle-Tacoma,spoke,hub,1872.8,335,37458,30268,7048358.279999999,4744769.12,70151342.39999999,56685910.4,0.8080516845533664,10.047360519219373,12.43405677048101,2303589.159999999,32.68263428856229,0.8174970265627065
LAX,SEA,LAX-SEA,Los Angeles,Seattle-Tacoma,spoke,hub,955.2,330,56824,46308,6645427.609999999,4368743.109999999,54278284.8,44233401.6,0.8149373504153175,12.243252775002942,15.023550913163323,2276684.5,34.25941314256525,0.3099248509976678
SLC,ORD,SLC-ORD,Salt Lake City,Chicago O'Hare,spoke,hub,1246.9,329,55395,45365,6913146.11,4655463.84,69072025.5,56565618.5,0.8189367271414387,10.0086048728946,12.22146295456842,2257682.2700000005,32.65781214625594,0.2755428193541276
SEA,TUL,SEA-TUL,Seattle-Tacoma,Tulsa,hub,spoke,1555.5,314,47800,38072,7293076.51,5042895.96,74352900.0,59220996.0,0.7964853556485356,9.808731750879925,12.315018325595199,2250180.55,30.85365341930301,0.1703088884219374
DFW,BIL,DFW-BIL,Dallas/Fort Worth,Billings,hub,spoke,1080.7,334,52520,42481,6120156.5,3881293.88,56758364.0,45909216.7,0.8088537699923839,10.7828275318154,13.330997433463072,2238862.62,36.581787083385855,0.3346437230761988
DFW,LAX,DFW-LAX,Dallas/Fort Worth,Los Angeles,hub,spoke,1232.3,321,40938,34183,5775068.48,3547183.71,50447897.4,42123710.9,0.8349943817480092,11.447590043663546,13.709780920559874,2227884.7700000005,38.57763380149564,1.1578854986396747
DFW,SFO,DFW-SFO,Dallas/Fort Worth,San Francisco,hub,spoke,1461.5,302,44093,37670,6594401.69,4372076.38,64441919.5,55054705.0,0.8543306193726895,10.233093211942577,11.977907592094082,2222325.3100000005,33.70018106980074,1.0483674011149455
ATL,FAR,ATL-FAR,Atlanta,Fargo,hub,spoke,1123.3,301,48722,36807,5640581.46,3426608.75,54729422.6,41345303.099999994,0.7554492836911457,10.306305442367302,13.642617267449664,2213972.71,39.25078869439818,0.1596435460646073
MIA,DFW,MIA-DFW,Miami,Dallas/Fort Worth,spoke,hub,1120.2,329,48284,41323,6050127.15,3854418.9000000004,54087736.8,46290024.6,0.855832159721647,11.185765032786508,13.070045225251404,2195708.25,36.29193561659279,1.3891537400479153
DTW,DEN,DTW-DEN,Detroit,Denver,spoke,hub,1120.0,325,50300,41605,6292041.32,4097279.67,56336000.0,46597600.0,0.8271371769383697,11.168775418915082,13.502930022147064,2194761.6500000004,34.88155176323604,0.19555341906020912
ATL,BOS,ATL-BOS,Atlanta,Boston,hub,spoke,945.0,346,55215,41612,6043660.24,3851077.7800000003,52178175.0,39323340.0,0.7536357873766186,11.582735961922777,15.369142702527302,2192582.46,36.27904900226489,0.38815726232817455
DFW,MIA,DFW-MIA,Dallas/Fort Worth,Miami,hub,spoke,1120.2,306,43578,36139,5417519.51,3225489.97,48816075.6,40482907.800000004,0.8292945981917481,11.09781858417148,13.382239084120334,2192029.5399999996,40.46186702149966,0.7580729959323722
IAH,ATL,IAH-ATL,Houston,Atlanta,spoke,hub,688.2,344,54040,43985,4838616.68,2663022.27,37190328.0,30270477.0,0.8139341228719467,13.010416794388046,15.984606651556893,2175594.4099999997,44.963148641069864,0.06356712515630329
LAS,ORD,LAS-ORD,Las Vegas,Chicago O'Hare,spoke,hub,1511.2,320,52305,42207,7246100.62,5077285.23,79043316.0,63783218.4,0.8069400630914827,9.167252826285779,11.360512689337735,2168815.3899999997,29.930793177420707,0.387613429052053
SEA,ORD,SEA-ORD,Seattle-Tacoma,Chicago O'Hare,hub,hub,1716.3,296,49303,35432,7414939.279999999,5263602.95,84618738.9,60811941.6,0.7186580938279618,8.762762688726385,12.193228969357557,2151336.329999999,29.013539406893152,0.19056220365771054
FAR,ATL,FAR-ATL,Fargo,Atlanta,spoke,hub,1123.3,366,63394,49711,7036109.76,4943581.34,71210480.2,55840366.3,0.7841593841688488,9.880722247959225,12.600400438275777,2092528.42,29.739849027028253,0.5663132908209451
DEN,IAH,DEN-IAH,Denver,Houston,hub,spoke,862.3,331,54008,44612,5683055.9399999995,3610800.52,46571098.4,38468927.599999994,0.8260257739594135,12.202967366558825,14.77310727008673,2072255.4199999995,36.46375192991677,0.5498968887294898
DEN,DTW,DEN-DTW,Denver,Detroit,hub,spoke,1120.0,353,60087,49028,6769881.07,4720152.23,67297440.0,54911360.0,0.8159502055353072,10.059641302848965,12.328744125077217,2049728.8399999999,30.27717649403256,0.45190503385820346
JFK,ATL,JFK-ATL,New York JFK,Atlanta,spoke,hub,759.3,335,57537,46049,5162029.9,3145577.5300000003,43687844.1,34965005.7,0.80033717433999,11.815712142224935,14.763417870685489,2016452.37,39.0631671854516,0.4757540880366566
DFW,BOI,DFW-BOI,Dallas/Fort Worth,Boise,hub,spoke,1270.2,297,40146,34338,5550674.52,3537236.66,50993449.2,43616127.6,0.8553280526079808,10.885073685111694,12.726197453622634,2013437.8599999994,36.2737511043973,0.6772671675694566
PHX,ORD,PHX-ORD,Phoenix,Chicago O'Hare,spoke,hub,1437.8,329,38696,31717,6050379.75,4063320.43,55637108.8,45602702.6,0.8196454413892909,10.87471991355525,13.267590307246396,1987059.3199999998,32.84189426291796,0.8371535769461173
BIL,ATL,BIL-ATL,Billings,Atlanta,spoke,hub,1523.0,310,53528,41185,7246827.95,5266522.99,81523144.0,62724755.0,0.769410402032581,8.889289095621729,11.553377848984823,1980304.96,27.32650717890991,0.5624377807454171
MSP,SEA,MSP-SEA,Minneapolis,Seattle-Tacoma,spoke,hub,1395.0,317,42276,34053,5942382.06,3972033.88,58975020.0,47503935.0,0.8054924780017031,10.076100118321282,12.509241729132544,1970348.1799999997,33.157547934573564,0.6216192405955422
MCI,SEA,MCI-SEA,Kansas City,Seattle-Tacoma,spoke,hub,1486.2,278,46179,35826,6432630.54,4467983.78,68631229.8,53244601.2,0.7758071850841292,9.37274555438609,12.081282223971282,1964646.7599999998,30.541887145285973,0.8802545637246693
LAX,ORD,LAX-ORD,Los Angeles,Chicago O'Hare,spoke,hub,1741.6,309,45103,34805,7073086.88,5128088.17,78551384.8,60616387.99999999,0.771678158880784,9.004407621850099,11.668604998371068,1944998.71,27.49858361700203,1.1462720873437724
OMA,SEA,OMA-SEA,Omaha,Seattle-Tacoma,spoke,hub,1364.5,303,49398,33376,6145705.2,4200897.3100000005,67403571.0,45541552.0,0.6756548848131503,9.11777389361166,13.494720601528906,1944807.8899999997,31.644991530020018,0.27828379674017256
LAS,DFW,LAS-DFW,Las Vegas,Dallas/Fort Worth,spoke,hub,1052.8,347,56892,43583,6422515.99,4479961.52,59895897.6,45884182.4,0.7660655276664557,10.722797799761166,13.9972331510913,1942554.4700000007,30.24600441672082,0.43806071174540534
PHX,DFW,PHX-DFW,Phoenix,Dallas/Fort Worth,spoke,hub,865.9,329,47729,42228,5046826.11,3107329.81,41328541.1,36565225.2,0.8847451235098158,12.211478982015167,13.802256330695318,1939496.3000000003,38.43002032816225,0.7540968078052477
IAH,DEN,IAH-DEN,Houston,Denver,spoke,hub,862.3,321,45740,36192,5147866.84,3210979.6500000004,39441602.0,31208361.599999998,0.7912549191080017,13.051870560430077,16.495152504257067,1936887.1899999995,37.625044512612135,0.8690318302387268
SLC,SEA,SLC-SEA,Salt Lake City,Seattle-Tacoma,spoke,hub,687.6,340,51740,44672,4878112.12,2952989.99,35576424.0,30716467.2,0.8633938925396212,13.711642631648422,15.881097550176603,1925122.13,39.46449123436712,0.13279011461318052
