account_id,signup_date,industry,acquisition_channel,plan,seats,mrr,churn_date,churn_flag,usage_events,feature_uses,tickets,avg_resolution_hours,avg_satisfaction,health_score,revenue_at_risk
10067,2026-06-28,Manufacturing,Paid Search,Business,23,11477,,False,1.0,50.0,1.0,5.3,4.4,60.0,0
10068,2025-08-11,Professional Services,Organic,Enterprise,33,42867,,False,11.0,792.0,2.0,62.8,4.55,73.75,0
10069,2025-02-15,Financial Services,Paid Search,Starter,4,316,,False,5.0,42.0,0.0,0.0,0.0,44.2,0
10070,2025-10-09,Professional Services,Partner,Starter,4,316,,False,6.0,38.0,5.0,25.22,3.78,47.699999999999996,0
10071,2026-04-23,Professional Services,Referral,Starter,5,395,,False,3.0,25.0,2.0,38.0,3.05,48.75,0
10072,2025-04-24,Financial Services,Referral,Pro,6,1194,2025-08-16,True,2.0,23.0,0.0,0.0,0.0,42.3,1194
10073,2025-10-05,Healthcare,Organic,Enterprise,42,54558,,False,6.0,515.0,1.0,49.1,3.3,69.5,0
10074,2025-03-19,Retail,Organic,Pro,10,1990,,False,6.0,118.0,3.0,29.3,3.3666666666666667,57.63333333333333,0
10075,2026-02-16,Technology,Referral,Pro,8,1592,,False,2.0,31.0,1.0,72.5,3.0,51.1,0
10076,2025-10-13,Professional Services,Events,Starter,2,158,,False,4.0,21.0,0.0,0.0,0.0,42.1,0
10077,2025-07-18,Technology,Organic,Business,21,10479,,False,3.0,123.0,2.0,10.350000000000001,4.3,64.8,0
10078,2025-05-17,Manufacturing,Paid Search,Pro,10,1990,,False,7.0,133.0,2.0,42.55,2.9000000000000004,58.8,0
10079,2025-12-05,Professional Services,Paid Search,Starter,3,237,,False,7.0,36.0,2.0,20.3,3.55,52.35,0
10080,2026-02-06,Retail,Organic,Starter,3,237,,False,6.0,27.0,2.0,21.0,4.7,57.2,0
10081,2026-07-19,Technology,Organic,Starter,3,237,,False,1.0,6.0,0.0,0.0,0.0,40.6,0
10082,2025-09-20,Retail,Referral,Starter,5,395,,False,8.0,84.0,2.0,35.25,3.75,58.15,0
10083,2025-04-07,Manufacturing,Paid Search,Starter,2,158,2026-02-21,True,5.0,24.0,4.0,25.775000000000002,3.95,49.15,158
10084,2026-05-15,Retail,Referral,Pro,7,1393,,False,3.0,49.0,0.0,0.0,0.0,44.9,0
10085,2026-01-13,Financial Services,Partner,Pro,8,1592,,False,5.0,80.0,2.0,24.25,3.7,57.5,0
10086,2026-02-25,Professional Services,Partner,Starter,4,316,,False,2.0,16.0,0.0,0.0,0.0,41.6,0
10087,2025-02-28,Technology,Partner,Pro,5,995,,False,5.0,47.0,0.0,0.0,0.0,44.7,0
10088,2025-07-07,Healthcare,Events,Enterprise,28,36372,,False,4.0,208.0,3.0,51.300000000000004,3.1333333333333333,64.66666666666667,0
10089,2026-04-06,Technology,Partner,Business,9,4491,,False,3.0,55.0,0.0,0.0,0.0,45.5,0
10090,2026-05-15,Retail,Partner,Pro,8,1592,,False,2.0,27.0,1.0,44.9,4.6,58.7,0
10091,2025-09-19,Professional Services,Partner,Starter,2,158,,False,5.0,22.0,3.0,15.766666666666667,3.466666666666667,48.53333333333334,0
10092,2026-04-28,Technology,Partner,Business,16,7984,,False,3.0,94.0,0.0,0.0,0.0,49.4,0
10093,2026-05-21,Financial Services,Partner,Starter,4,316,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10094,2025-08-21,Manufacturing,Events,Starter,2,158,,False,2.0,7.0,2.0,30.2,3.35,48.45,0
10095,2026-06-23,Technology,Referral,Business,20,9980,,False,1.0,40.0,0.0,0.0,0.0,44.0,0
10096,2025-06-22,Healthcare,Paid Search,Pro,7,1393,,False,5.0,68.0,2.0,24.2,3.3,54.3,0
10097,2025-05-24,Financial Services,Paid Search,Business,23,11477,,False,7.0,325.0,3.0,25.366666666666664,4.2,70.0,0
10098,2026-02-14,Healthcare,Partner,Pro,9,1791,,False,2.0,40.0,0.0,0.0,0.0,44.0,0
10099,2026-01-18,Technology,Referral,Pro,6,1194,,False,6.0,78.0,1.0,77.5,3.2,56.8,0
10100,2025-03-25,Manufacturing,Partner,Starter,3,237,,False,10.0,62.0,3.0,49.333333333333336,3.0,50.2,0
10101,2026-05-15,Technology,Partner,Starter,4,316,,False,2.0,8.0,3.0,32.9,3.4,46.8,0
10102,2025-04-30,Manufacturing,Events,Starter,3,237,,False,9.0,53.0,2.0,13.9,4.9,60.8,0
10103,2026-04-28,Financial Services,Organic,Starter,2,158,,False,3.0,5.0,0.0,0.0,0.0,40.5,0
10104,2025-01-05,Retail,Paid Search,Business,23,11477,,False,9.0,407.0,3.0,24.266666666666666,4.0,69.0,0
10105,2026-04-24,Technology,Partner,Starter,2,158,,False,3.0,11.0,1.0,48.8,4.2,55.1,0
10106,2026-04-18,Financial Services,Events,Pro,13,2587,,False,2.0,56.0,2.0,37.550000000000004,3.7,55.1,0
10107,2026-04-14,Technology,Events,Business,26,12974,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10108,2026-02-03,Financial Services,Paid Search,Business,20,9980,,False,3.0,110.0,0.0,0.0,0.0,51.0,0
10109,2025-10-10,Healthcare,Paid Search,Pro,8,1592,,False,4.0,68.0,3.0,27.53333333333333,4.0,55.8,0
10110,2026-02-28,Professional Services,Organic,Pro,7,1393,,False,5.0,63.0,0.0,0.0,0.0,46.3,0
10111,2025-06-16,Professional Services,Events,Enterprise,57,74043,,False,3.0,343.0,6.0,40.71666666666667,3.733333333333333,61.666666666666664,0
10112,2026-04-14,Professional Services,Organic,Pro,7,1393,,False,4.0,47.0,0.0,0.0,0.0,44.7,0
10113,2025-11-30,Professional Services,Partner,Business,20,9980,,False,7.0,289.0,2.0,37.6,3.95,70.75,0
10114,2025-10-03,Technology,Partner,Business,24,11976,,False,3.0,128.0,1.0,37.2,3.8,64.8,0
10115,2025-10-31,Professional Services,Referral,Business,15,7485,,False,7.0,211.0,3.0,37.833333333333336,3.466666666666667,66.33333333333333,0
10116,2025-12-08,Financial Services,Organic,Starter,2,158,,False,7.0,31.0,1.0,32.5,3.6,54.1,0
10117,2025-01-23,Professional Services,Organic,Pro,5,995,,False,9.0,91.0,4.0,28.525,3.75,54.85,0
10118,2025-03-25,Healthcare,Partner,Starter,2,158,2025-11-14,True,4.0,23.0,2.0,23.35,4.45,55.55,158
10119,2025-05-28,Healthcare,Paid Search,Pro,4,796,,False,7.0,68.0,3.0,48.56666666666666,4.0,55.8,0
10120,2025-03-10,Healthcare,Organic,Enterprise,58,75342,2026-02-22,True,6.0,676.0,3.0,42.06666666666666,3.6666666666666665,67.33333333333333,75342
10121,2025-09-21,Financial Services,Paid Search,Pro,15,2985,,False,6.0,173.0,1.0,19.1,4.1,70.8,0
10122,2026-02-06,Professional Services,Organic,Pro,13,2587,,False,3.0,93.0,1.0,41.5,4.1,62.8,0
10123,2026-01-28,Manufacturing,Partner,Starter,2,158,,False,3.0,22.0,2.0,36.55,3.95,52.95,0
10124,2025-10-10,Professional Services,Referral,Enterprise,58,75342,,False,5.0,540.0,0.0,0.0,0.0,60.0,0
10125,2026-05-29,Retail,Organic,Starter,5,395,,False,1.0,7.0,0.0,0.0,0.0,40.7,0
10126,2025-12-06,Retail,Organic,Starter,3,237,,False,3.0,18.0,0.0,0.0,0.0,41.8,0
10127,2025-02-17,Healthcare,Paid Search,Starter,3,237,,False,5.0,26.0,6.0,29.05,3.9166666666666665,45.18333333333334,0
10128,2026-04-04,Financial Services,Referral,Starter,1,79,,False,3.0,9.0,0.0,0.0,0.0,40.9,0
10129,2025-12-11,Healthcare,Partner,Pro,9,1791,,False,2.0,31.0,0.0,0.0,0.0,43.1,0
10130,2026-01-16,Manufacturing,Referral,Pro,6,1194,,False,5.0,57.0,2.0,14.5,4.45,58.95,0
10131,2025-12-06,Retail,Referral,Starter,3,237,,False,3.0,15.0,3.0,24.033333333333335,3.6333333333333333,48.666666666666664,0
10132,2025-11-29,Manufacturing,Organic,Starter,2,158,,False,7.0,28.0,1.0,24.7,3.5,53.3,0
10133,2025-02-24,Professional Services,Organic,Starter,4,316,,False,7.0,62.0,1.0,37.7,3.9,58.7,0
10134,2025-12-02,Manufacturing,Events,Starter,4,316,,False,8.0,57.0,1.0,46.3,3.0,53.7,0
10135,2026-04-22,Professional Services,Organic,Starter,2,158,,False,2.0,7.0,1.0,30.7,3.2,49.7,0
10136,2025-07-02,Manufacturing,Events,Pro,5,995,,False,3.0,33.0,2.0,37.7,3.35,51.05,0
10137,2025-12-28,Retail,Referral,Starter,1,79,,False,4.0,11.0,7.0,31.942857142857147,3.5285714285714285,41.74285714285715,0
10138,2025-01-19,Manufacturing,Organic,Starter,3,237,,False,4.0,21.0,5.0,55.1,3.3,43.6,0
10139,2025-07-28,Technology,Organic,Starter,2,158,,False,10.0,39.0,3.0,45.833333333333336,3.5666666666666664,50.733333333333334,0
10140,2025-09-20,Retail,Organic,Starter,2,158,,False,8.0,35.0,0.0,0.0,0.0,43.5,0
10141,2026-08-13,Manufacturing,Partner,Starter,4,316,,False,1.0,8.0,0.0,0.0,0.0,40.8,0
10142,2025-05-09,Technology,Paid Search,Starter,3,237,,False,3.0,10.0,5.0,32.58,3.54,43.7,0
10143,2025-06-15,Professional Services,Referral,Business,12,5988,,False,9.0,221.0,2.0,46.45,3.9000000000000004,70.5,0
10144,2025-09-03,Technology,Paid Search,Starter,2,158,,False,10.0,38.0,0.0,0.0,0.0,43.8,0
10145,2026-08-19,Professional Services,Paid Search,Pro,12,2388,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10146,2026-05-28,Retail,Events,Pro,10,1990,,False,1.0,17.0,1.0,68.0,4.6,57.7,0
10147,2025-01-21,Financial Services,Events,Starter,3,237,2025-11-07,True,4.0,29.0,4.0,21.375,3.55,47.65,237
10148,2025-05-21,Professional Services,Paid Search,Pro,10,1990,,False,11.0,233.0,1.0,7.8,3.8,72.0,0
10149,2026-05-09,Technology,Partner,Business,12,5988,,False,4.0,86.0,0.0,0.0,0.0,48.6,0
10150,2025-02-04,Professional Services,Partner,Business,18,8982,2025-10-27,True,8.0,269.0,0.0,0.0,0.0,60.0,8982
10151,2026-05-29,Manufacturing,Referral,Starter,3,237,,False,1.0,12.0,0.0,0.0,0.0,41.2,0
10152,2025-06-18,Manufacturing,Paid Search,Starter,3,237,,False,9.0,62.0,4.0,57.525,3.075,48.575,0
10153,2026-07-05,Professional Services,Organic,Starter,3,237,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10154,2025-06-26,Professional Services,Partner,Pro,6,1194,,False,5.0,65.0,5.0,46.019999999999996,3.5,49.0,0
10155,2025-09-18,Technology,Events,Pro,10,1990,,False,2.0,40.0,1.0,30.9,4.1,57.5,0
10156,2026-02-02,Manufacturing,Organic,Starter,4,316,,False,6.0,42.0,0.0,0.0,0.0,44.2,0
10157,2025-03-17,Healthcare,Partner,Starter,1,79,,False,4.0,8.0,2.0,51.85,3.25,48.05,0
10158,2025-12-01,Healthcare,Events,Business,27,13473,,False,2.0,102.0,3.0,31.13333333333333,4.266666666666667,60.53333333333334,0
10159,2025-10-31,Professional Services,Organic,Starter,1,79,2026-03-02,True,2.0,3.0,1.0,58.2,3.5,50.8,79
10160,2026-04-16,Financial Services,Paid Search,Pro,6,1194,,False,1.0,7.0,0.0,0.0,0.0,40.7,0
10161,2026-08-21,Technology,Events,Pro,11,2189,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10162,2026-02-03,Healthcare,Events,Starter,3,237,,False,3.0,19.0,2.0,39.75,3.5,50.4,0
10163,2025-09-03,Financial Services,Organic,Starter,2,158,,False,6.0,28.0,4.0,49.15,3.375,46.675,0
10164,2025-09-01,Professional Services,Referral,Starter,2,158,,False,8.0,22.0,1.0,25.7,4.9,59.7,0
10165,2025-09-08,Healthcare,Paid Search,Business,26,12974,,False,9.0,464.0,3.0,14.566666666666668,3.6333333333333333,67.16666666666667,0
10166,2026-05-04,Financial Services,Organic,Starter,2,158,,False,1.0,2.0,2.0,58.7,2.7,44.7,0
10167,2025-07-12,Retail,Referral,Starter,4,316,,False,7.0,50.0,5.0,28.22,3.78,48.9,0
10168,2025-04-11,Professional Services,Organic,Starter,3,237,,False,6.0,31.0,1.0,10.9,4.9,60.6,0
10169,2025-07-20,Technology,Organic,Starter,2,158,,False,10.0,40.0,4.0,36.075,3.9,50.5,0
10170,2025-01-14,Manufacturing,Paid Search,Pro,7,1393,,False,6.0,94.0,4.0,50.175,3.5,53.9,0
10171,2025-03-05,Professional Services,Paid Search,Starter,2,158,,False,10.0,54.0,2.0,60.300000000000004,3.5,53.9,0
10172,2025-02-24,Professional Services,Paid Search,Pro,11,2189,,False,4.0,89.0,3.0,38.53333333333333,4.233333333333333,59.06666666666666,0
10173,2026-04-08,Healthcare,Partner,Pro,10,1990,,False,1.0,29.0,0.0,0.0,0.0,42.9,0
10174,2026-03-10,Professional Services,Referral,Business,10,4990,,False,1.0,17.0,1.0,20.4,3.9,54.2,0
10175,2026-02-23,Retail,Organic,Starter,3,237,2026-07-03,True,2.0,10.0,0.0,0.0,0.0,41.0,237
10176,2025-10-05,Healthcare,Organic,Business,13,6487,,False,11.0,306.0,3.0,38.23333333333333,3.5,66.5,0
10177,2026-03-07,Financial Services,Organic,Pro,13,2587,,False,3.0,63.0,4.0,37.699999999999996,3.9,52.8,0
10178,2025-04-07,Financial Services,Referral,Starter,2,158,,False,7.0,40.0,2.0,66.7,3.45,52.25,0
10179,2026-06-25,Technology,Organic,Business,32,15968,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10180,2025-10-28,Retail,Organic,Business,18,8982,2026-03-17,True,0.0,0.0,0.0,0.0,0.0,40.0,8982
10181,2026-07-17,Retail,Organic,Starter,2,158,,False,1.0,3.0,0.0,0.0,0.0,40.3,0
10182,2025-04-02,Financial Services,Paid Search,Business,14,6986,,False,3.0,83.0,3.0,18.066666666666666,4.333333333333333,58.96666666666666,0
10183,2025-10-26,Technology,Paid Search,Pro,6,1194,,False,3.0,44.0,1.0,126.8,4.2,58.4,0
10184,2026-02-22,Technology,Events,Pro,5,995,,False,3.0,29.0,0.0,0.0,0.0,42.9,0
10185,2025-10-25,Healthcare,Partner,Enterprise,47,61053,,False,3.0,280.0,1.0,23.5,4.4,75.0,0
10186,2025-09-25,Healthcare,Paid Search,Starter,2,158,,False,6.0,28.0,1.0,5.9,4.2,56.8,0
10187,2025-04-10,Healthcare,Organic,Business,8,3992,,False,6.0,87.0,5.0,26.04,3.8200000000000003,52.800000000000004,0
10188,2025-08-17,Professional Services,Paid Search,Starter,3,237,,False,8.0,54.0,1.0,27.6,2.9,52.9,0
10189,2025-05-24,Manufacturing,Organic,Business,10,4990,,False,7.0,141.0,0.0,0.0,0.0,54.099999999999994,0
10190,2025-06-30,Professional Services,Referral,Pro,6,1194,,False,5.0,43.0,4.0,56.4,3.875,50.675,0
10191,2026-02-15,Financial Services,Referral,Starter,2,158,,False,3.0,12.0,0.0,0.0,0.0,41.2,0
10192,2026-01-14,Technology,Referral,Starter,2,158,,False,6.0,20.0,0.0,0.0,0.0,42.0,0
10193,2025-12-31,Manufacturing,Organic,Starter,6,474,,False,6.0,69.0,1.0,5.3,4.9,64.4,0
10194,2025-08-06,Professional Services,Paid Search,Starter,3,237,,False,3.0,26.0,5.0,37.14,3.54,45.300000000000004,0
10195,2026-07-30,Healthcare,Partner,Starter,3,237,,False,1.0,5.0,0.0,0.0,0.0,40.5,0
10196,2025-02-22,Professional Services,Partner,Starter,2,158,,False,5.0,16.0,3.0,33.9,3.4,47.6,0
10197,2025-07-25,Healthcare,Paid Search,Starter,2,158,,False,9.0,31.0,4.0,39.699999999999996,3.725,48.725,0
10198,2025-03-12,Retail,Paid Search,Starter,3,237,,False,9.0,45.0,2.0,22.450000000000003,3.9,55.0,0
10199,2025-07-23,Technology,Organic,Pro,6,1194,,False,9.0,124.0,3.0,36.36666666666667,3.9666666666666663,61.233333333333334,0
10200,2026-08-01,Professional Services,Partner,Pro,11,2189,,False,0.0,0.0,0.0,0.0,0.0,40.0,0
10201,2025-08-08,Healthcare,Paid Search,Pro,5,995,,False,6.0,74.0,7.0,52.542857142857144,3.371428571428571,47.25714285714285,0
10202,2026-06-30,Professional Services,Organic,Starter,3,237,,False,1.0,7.0,0.0,0.0,0.0,40.7,0
10203,2025-10-25,Professional Services,Referral,Business,15,7485,,False,3.0,103.0,2.0,36.35,4.1,61.8,0
10204,2026-02-24,Financial Services,Events,Pro,8,1592,,False,5.0,92.0,0.0,0.0,0.0,49.2,0
10205,2025-10-02,Professional Services,Paid Search,Starter,2,158,,False,7.0,27.0,2.0,17.700000000000003,4.25,54.95,0
10206,2025-06-09,Technology,Referral,Starter,3,237,,False,8.0,46.0,1.0,24.7,5.0,62.6,0
10207,2026-04-04,Financial Services,Paid Search,Pro,7,1393,,False,2.0,26.0,1.0,33.0,3.9,55.1,0
10208,2026-08-05,Healthcare,Referral,Starter,2,158,,False,1.0,5.0,0.0,0.0,0.0,40.5,0
10209,2025-06-08,Healthcare,Referral,Pro,9,1791,,False,5.0,91.0,3.0,37.333333333333336,3.866666666666667,57.43333333333334,0
10210,2026-04-13,Manufacturing,Referral,Enterprise,49,63651,,False,1.0,111.0,1.0,35.7,2.8,58.1,0
10211,2025-06-06,Technology,Referral,Starter,3,237,,False,3.0,12.0,2.0,22.15,3.5999999999999996,50.2,0
10212,2026-03-07,Retail,Paid Search,Starter,3,237,,False,4.0,32.0,0.0,0.0,0.0,43.2,0
10213,2026-04-19,Professional Services,Organic,Enterprise,59,76641,,False,3.0,404.0,0.0,0.0,0.0,60.0,0
10214,2025-09-27,Manufacturing,Partner,Pro,7,1393,,False,3.0,36.0,0.0,0.0,0.0,43.6,0
10215,2026-03-19,Financial Services,Referral,Starter,3,237,,False,1.0,9.0,1.0,47.3,4.1,54.4,0
10216,2025-06-13,Technology,Paid Search,Business,19,9481,2025-08-12,True,2.0,70.0,0.0,0.0,0.0,47.0,9481
10217,2025-02-17,Healthcare,Paid Search,Business,33,16467,,False,10.0,642.0,2.0,10.6,4.5,73.5,0
10218,2025-02-27,Technology,Paid Search,Pro,5,995,,False,6.0,65.0,6.0,46.51666666666667,3.5500000000000003,47.25,0
10219,2025-09-26,Professional Services,Paid Search,Pro,10,1990,,False,6.0,105.0,2.0,22.4,3.25,57.75,0
10220,2026-06-26,Healthcare,Events,Starter,2,158,,False,0.0,0.0,1.0,28.5,3.4,50.0,0
10221,2025-03-18,Financial Services,Paid Search,Starter,3,237,,False,4.0,13.0,0.0,0.0,0.0,41.3,0
10222,2025-10-01,Healthcare,Partner,Pro,14,2786,,False,9.0,250.0,2.0,31.299999999999997,3.75,69.75,0
10223,2026-02-27,Financial Services,Paid Search,Starter,4,316,,False,2.0,19.0,0.0,0.0,0.0,41.9,0
10224,2025-05-02,Manufacturing,Organic,Pro,8,1592,,False,9.0,160.0,6.0,36.550000000000004,3.8333333333333335,58.16666666666667,0
10225,2026-03-09,Financial Services,Referral,Business,15,7485,,False,6.0,171.0,0.0,0.0,0.0,57.099999999999994,0
10226,2025-07-03,Technology,Referral,Starter,3,237,,False,3.0,13.0,2.0,24.1,3.9000000000000004,51.8,0
10227,2026-05-01,Technology,Organic,Pro,7,1393,,False,3.0,31.0,0.0,0.0,0.0,43.1,0
10228,2025-12-14,Healthcare,Referral,Starter,2,158,,False,4.0,14.0,3.0,53.03333333333333,3.7999999999999994,49.4,0
10229,2025-11-25,Technology,Referral,Business,16,7984,,False,6.0,179.0,3.0,45.63333333333333,3.966666666666667,66.73333333333333,0
10230,2025-04-17,Retail,Paid Search,Starter,3,237,,False,7.0,53.0,1.0,17.8,4.1,58.8,0
10231,2025-10-05,Technology,Organic,Pro,6,1194,,False,3.0,36.0,2.0,36.35,2.9,49.1,0
10232,2026-05-29,Professional Services,Partner,Pro,6,1194,,False,2.0,15.0,1.0,90.0,3.2,50.5,0
